case,event,timestamp
1,Loan__application_received,2040-02-20T13:00:00.000+00:00
1,Check__application__form_completeness,2040-02-20T13:00:00.000+00:00
1,Appraise_property,2040-02-20T13:13:53.055+00:00
1,Check_credit_history,2040-02-20T13:13:53.055+00:00
1,Assess_loan_risk,2040-02-20T14:10:51.825+00:00
1,Assess_eligibility,2040-02-20T15:02:08.118+00:00
1,Reject_application,2040-02-20T15:03:43.195+00:00
1,Loan_application_rejected,2040-02-20T15:44:48.876+00:00
2,Loan__application_received,2026-02-12T11:30:00.000+00:00
2,Check__application__form_completeness,2026-02-12T11:30:00.000+00:00
2,Appraise_property,2026-02-12T12:01:58.833+00:00
2,Check_credit_history,2026-02-12T12:01:58.833+00:00
2,Assess_loan_risk,2026-02-12T12:20:15.544+00:00
2,Assess_eligibility,2026-02-12T12:49:21.495+00:00
2,Prepare_acceptance_pack,2026-02-12T14:05:14.799+00:00
2,Check_if_home_insurance_quote_is_requested,2026-02-12T14:23:15.308+00:00
2,Send_home_insurance_quote,2026-02-12T14:33:04.119+00:00
2,Verify_repayment_agreement,2026-02-12T15:20:46.697+00:00
2,Cancel_application,2026-02-12T15:36:12.222+00:00
2,Loan__application_canceled,2026-02-12T16:46:55.498+00:00
3,Loan__application_received,2794-02-05T10:30:00.000+00:00
3,Check__application__form_completeness,2794-02-05T10:30:00.000+00:00
3,Appraise_property,2794-02-05T11:20:26.645+00:00
3,Check_credit_history,2794-02-05T11:20:26.645+00:00
3,Assess_loan_risk,2794-02-05T12:19:41.728+00:00
3,Assess_eligibility,2794-02-05T12:32:34.136+00:00
3,Reject_application,2794-02-05T13:14:42.017+00:00
3,Loan_application_rejected,2794-02-05T14:05:42.733+00:00
4,Loan__application_received,2044-02-11T14:00:00.000+00:00
4,Check__application__form_completeness,2044-02-11T14:00:00.000+00:00
4,Appraise_property,2044-02-11T14:08:37.019+00:00
4,Check_credit_history,2044-02-11T14:08:37.019+00:00
4,Assess_loan_risk,2044-02-11T14:26:54.121+00:00
4,Assess_eligibility,2044-02-11T14:39:35.515+00:00
4,Reject_application,2044-02-11T14:46:06.144+00:00
4,Loan_application_rejected,2044-02-11T16:03:06.817+00:00
5,Loan__application_received,2889-02-18T12:00:00.000+00:00
5,Check__application__form_completeness,2889-02-18T12:00:00.000+00:00
5,Appraise_property,2889-02-18T13:55:52.540+00:00
5,Check_credit_history,2889-02-18T13:55:52.540+00:00
5,Assess_loan_risk,2889-02-18T14:28:58.303+00:00
5,Assess_eligibility,2889-02-18T14:36:20.036+00:00
5,Prepare_acceptance_pack,2889-02-18T14:51:32.877+00:00
5,Check_if_home_insurance_quote_is_requested,2889-02-18T14:56:18.243+00:00
5,Send_home_insurance_quote,2889-02-18T15:11:56.069+00:00
5,Verify_repayment_agreement,2889-02-18T15:13:50.373+00:00
5,Approve_application,2889-02-18T15:42:51.533+00:00
5,Loan__application_approved,2889-02-18T15:56:17.962+00:00
6,Loan__application_received,2507-02-05T15:30:00.000+00:00
6,Check__application__form_completeness,2507-02-05T15:30:00.000+00:00
6,Appraise_property,2507-02-05T15:37:50.100+00:00
6,Check_credit_history,2507-02-05T15:37:50.100+00:00
6,Assess_loan_risk,2507-02-05T15:53:34.759+00:00
6,Assess_eligibility,2507-02-05T15:56:34.129+00:00
6,Reject_application,2507-02-05T16:11:17.943+00:00
6,Loan_application_rejected,2507-02-05T16:12:37.416+00:00
7,Loan__application_received,2748-02-08T17:00:00.000+00:00
7,Check__application__form_completeness,2748-02-08T17:00:00.000+00:00
7,Appraise_property,2748-02-11T10:53:52.635+00:00
7,Check_credit_history,2748-02-11T10:53:52.635+00:00
7,Assess_loan_risk,2748-02-11T11:11:16.808+00:00
7,Assess_eligibility,2748-02-11T11:11:30.531+00:00
7,Reject_application,2748-02-11T11:14:25.089+00:00
7,Loan_application_rejected,2748-02-11T11:29:37.566+00:00
8,Loan__application_received,2695-02-22T11:00:00.000+00:00
8,Check__application__form_completeness,2695-02-22T11:00:00.000+00:00
8,Appraise_property,2695-02-22T11:17:10.527+00:00
8,Check_credit_history,2695-02-22T11:17:10.527+00:00
8,Assess_loan_risk,2695-02-22T11:43:26.161+00:00
8,Assess_eligibility,2695-02-22T12:14:35.200+00:00
8,Prepare_acceptance_pack,2695-02-22T12:19:02.285+00:00
8,Check_if_home_insurance_quote_is_requested,2695-02-22T12:20:00.191+00:00
8,Send_acceptance_pack,2695-02-22T12:44:30.341+00:00
8,Verify_repayment_agreement,2695-02-22T13:09:53.985+00:00
8,Approve_application,2695-02-22T13:24:57.449+00:00
8,Loan__application_approved,2695-02-22T14:48:53.129+00:00
9,Loan__application_received,2521-02-06T12:30:00.000+00:00
9,Check__application__form_completeness,2521-02-06T12:30:00.000+00:00
9,Appraise_property,2521-02-06T12:49:22.747+00:00
9,Check_credit_history,2521-02-06T12:49:22.747+00:00
9,Assess_loan_risk,2521-02-06T12:51:45.466+00:00
9,Assess_eligibility,2521-02-06T13:25:39.661+00:00
9,Reject_application,2521-02-06T13:40:29.161+00:00
9,Loan_application_rejected,2521-02-06T14:38:00.067+00:00
10,Loan__application_received,2418-02-08T09:30:00.000+00:00
10,Check__application__form_completeness,2418-02-08T09:30:00.000+00:00
10,Appraise_property,2418-02-08T09:31:08.024+00:00
10,Check_credit_history,2418-02-08T09:31:08.024+00:00
10,Assess_loan_risk,2418-02-08T09:55:36.982+00:00
10,Assess_eligibility,2418-02-08T09:57:06.455+00:00
10,Reject_application,2418-02-08T10:07:54.829+00:00
10,Loan_application_rejected,2418-02-08T10:25:23.178+00:00
11,Loan__application_received,2246-02-13T17:00:00.000+00:00
11,Check__application__form_completeness,2246-02-13T17:00:00.000+00:00
11,Appraise_property,2246-02-14T09:24:18.451+00:00
11,Check_credit_history,2246-02-14T09:24:18.451+00:00
11,Assess_loan_risk,2246-02-14T09:42:23.916+00:00
11,Assess_eligibility,2246-02-14T12:03:22.432+00:00
11,Reject_application,2246-02-14T12:59:41.262+00:00
11,Loan_application_rejected,2246-02-14T13:00:23.583+00:00
12,Loan__application_received,2184-02-05T16:30:00.000+00:00
12,Check__application__form_completeness,2184-02-05T16:30:00.000+00:00
12,Appraise_property,2184-02-05T16:40:52.569+00:00
12,Check_credit_history,2184-02-05T16:40:52.569+00:00
12,Assess_loan_risk,2184-02-05T16:52:47.773+00:00
12,Assess_eligibility,2184-02-06T09:08:45.321+00:00
12,Prepare_acceptance_pack,2184-02-06T09:23:12.377+00:00
12,Check_if_home_insurance_quote_is_requested,2184-02-06T09:48:28.312+00:00
