case,event,timestamp
1,Loan__application_received,2160-02-15T15:00:00.000+00:00
1,Check__application__form_completeness,2160-02-15T15:00:00.000+00:00
1,Appraise_property,2160-02-15T15:07:26.980+00:00
1,Check_credit_history,2160-02-15T15:07:26.980+00:00
1,Assess_loan_risk,2160-02-15T15:50:17.092+00:00
1,Assess_eligibility,2160-02-15T16:00:36.601+00:00
1,Reject_application,2160-02-15T16:02:14.550+00:00
1,Loan_application_rejected,2160-02-15T16:51:59.676+00:00
2,Loan__application_received,2439-02-05T13:30:00.000+00:00
2,Check__application__form_completeness,2439-02-05T13:30:00.000+00:00
2,Appraise_property,2439-02-05T13:47:45.672+00:00
2,Check_credit_history,2439-02-05T13:47:45.672+00:00
2,Assess_loan_risk,2439-02-05T13:50:09.616+00:00
2,Assess_eligibility,2439-02-05T14:00:50.539+00:00
2,Reject_application,2439-02-05T14:15:35.430+00:00
2,Loan_application_rejected,2439-02-05T14:30:54.520+00:00
3,Loan__application_received,2869-02-11T12:00:00.000+00:00
3,Check__application__form_completeness,2869-02-11T12:00:00.000+00:00
3,Appraise_property,2869-02-11T14:27:55.264+00:00
3,Check_credit_history,2869-02-11T14:27:55.264+00:00
3,Assess_loan_risk,2869-02-11T14:40:02.264+00:00
3,Assess_eligibility,2869-02-11T14:47:16.334+00:00
3,Reject_application,2869-02-11T15:05:01.058+00:00
3,Loan_application_rejected,2869-02-11T15:50:37.108+00:00
4,Loan__application_received,2717-02-20T11:30:00.000+00:00
4,Check__application__form_completeness,2717-02-20T11:30:00.000+00:00
4,Appraise_property,2717-02-20T12:18:47.124+00:00
4,Check_credit_history,2717-02-20T12:18:47.124+00:00
4,Assess_loan_risk,2717-02-20T12:25:29.358+00:00
4,Assess_eligibility,2717-02-20T12:40:11.931+00:00
4,Prepare_acceptance_pack,2717-02-20T12:48:04.456+00:00
4,Check_if_home_insurance_quote_is_requested,2717-02-20T13:36:38.296+00:00
4,Send_acceptance_pack,2717-02-20T15:46:22.434+00:00
4,Verify_repayment_agreement,2717-02-20T15:55:21.984+00:00
4,Cancel_application,2717-02-20T16:43:57.382+00:00
4,Loan__application_canceled,2717-02-21T09:02:04.764+00:00
5,Loan__application_received,2892-02-13T15:00:00.000+00:00
5,Check__application__form_completeness,2892-02-13T15:00:00.000+00:00
5,Return_application_back_to_applicant,2892-02-13T15:21:43.712+00:00
5,Receive_updated_application,2892-02-13T15:27:34.634+00:00
5,Check__application__form_completeness,2892-02-13T15:34:29.578+00:00
5,Appraise_property,2892-02-13T15:44:55.799+00:00
5,Check_credit_history,2892-02-13T15:44:55.799+00:00
5,Assess_loan_risk,2892-02-13T16:00:07.720+00:00
5,Assess_eligibility,2892-02-14T09:05:38.857+00:00
5,Prepare_acceptance_pack,2892-02-14T09:15:19.514+00:00
5,Check_if_home_insurance_quote_is_requested,2892-02-14T09:44:31.868+00:00
5,Send_acceptance_pack,2892-02-14T09:50:19.323+00:00
5,Verify_repayment_agreement,2892-02-14T10:01:33.816+00:00
5,Cancel_application,2892-02-14T10:05:08.745+00:00
5,Loan__application_canceled,2892-02-14T10:43:37.864+00:00
6,Loan__application_received,2924-02-14T14:00:00.000+00:00
6,Check__application__form_completeness,2924-02-14T14:00:00.000+00:00
6,Appraise_property,2924-02-14T14:25:45.171+00:00
6,Check_credit_history,2924-02-14T14:25:45.171+00:00
6,Assess_loan_risk,2924-02-14T15:36:55.627+00:00
6,Assess_eligibility,2924-02-14T15:52:31.904+00:00
6,Reject_application,2924-02-14T16:01:48.087+00:00
6,Loan_application_rejected,2924-02-14T16:22:21.048+00:00
7,Loan__application_received,2046-02-08T16:00:00.000+00:00
7,Check__application__form_completeness,2046-02-08T16:00:00.000+00:00
7,Appraise_property,2046-02-08T16:27:41.642+00:00
7,Check_credit_history,2046-02-08T16:27:41.642+00:00
7,Assess_loan_risk,2046-02-11T09:10:00.059+00:00
7,Assess_eligibility,2046-02-11T09:11:39.737+00:00
7,Reject_application,2046-02-11T09:22:07.228+00:00
7,Loan_application_rejected,2046-02-11T10:21:12.485+00:00
8,Loan__application_received,2525-02-20T11:30:00.000+00:00
8,Check__application__form_completeness,2525-02-20T11:30:00.000+00:00
8,Appraise_property,2525-02-20T11:30:49.417+00:00
8,Check_credit_history,2525-02-20T11:30:49.417+00:00
8,Assess_loan_risk,2525-02-20T12:17:04.391+00:00
8,Assess_eligibility,2525-02-20T12:34:02.946+00:00
8,Prepare_acceptance_pack,2525-02-20T12:34:36.632+00:00
8,Check_if_home_insurance_quote_is_requested,2525-02-20T14:00:53.829+00:00
8,Send_home_insurance_quote,2525-02-20T14:30:51.542+00:00
8,Verify_repayment_agreement,2525-02-20T14:44:55.280+00:00
8,Approve_application,2525-02-21T09:26:25.171+00:00
8,Loan__application_approved,2525-02-21T09:30:44.233+00:00
9,Loan__application_received,2847-02-06T14:00:00.000+00:00
9,Check__application__form_completeness,2847-02-06T14:00:00.000+00:00
9,Appraise_property,2847-02-06T14:43:29.803+00:00
9,Check_credit_history,2847-02-06T14:43:29.803+00:00
9,Assess_loan_risk,2847-02-06T14:52:04.208+00:00
9,Assess_eligibility,2847-02-06T15:14:32.987+00:00
9,Prepare_acceptance_pack,2847-02-06T16:09:34.495+00:00
9,Check_if_home_insurance_quote_is_requested,2847-02-06T16:28:34.519+00:00
9,Send_home_insurance_quote,2847-02-06T16:28:40.518+00:00
9,Verify_repayment_agreement,2847-02-07T09:14:46.949+00:00
9,Approve_application,2847-02-07T09:34:51.949+00:00
9,Loan__application_approved,2847-02-07T10:48:42.119+00:00
10,Loan__application_received,2824-02-18T13:30:00.000+00:00
10,Check__application__form_completeness,2824-02-18T13:30:00.000+00:00
10,Appraise_property,2824-02-18T13:55:29.823+00:00
10,Check_credit_history,2824-02-18T13:55:29.823+00:00
10,Assess_loan_risk,2824-02-18T15:46:57.826+00:00
10,Assess_eligibility,2824-02-18T15:48:44.991+00:00
10,Prepare_acceptance_pack,2824-02-18T15:59:17.287+00:00
10,Check_if_home_insurance_quote_is_requested,2824-02-18T16:11:44.269+00:00
10,Send_home_insurance_quote,2824-02-18T16:59:15.989+00:00
10,Verify_repayment_agreement,2824-02-19T09:00:00.426+00:00
10,Approve_application,2824-02-19T09:20:30.978+00:00
10,Loan__application_approved,2824-02-19T09:24:10.731+00:00
11,Loan__application_received,2421-02-15T10:00:00.000+00:00
11,Check__application__form_completeness,2421-02-15T10:00:00.000+00:00
11,Appraise_property,2421-02-15T10:17:18.746+00:00
11,Check_credit_history,2421-02-15T10:17:18.746+00:00
11,Assess_loan_risk,2421-02-15T10:48:11.448+00:00
11,Assess_eligibility,2421-02-15T11:41:46.954+00:00
11,Reject_application,2421-02-15T12:06:44.476+00:00
11,Loan_application_rejected,2421-02-15T12:51:12.690+00:00
12,Loan__application_received,2342-02-20T15:00:00.000+00:00
12,Check__application__form_completeness,2342-02-20T15:00:00.000+00:00
12,Return_application_back_to_applicant,2342-02-20T15:07:19.993+00:00
12,Receive_updated_application,2342-02-20T15:23:00.513+00:00
12,Check__application__form_completeness,2342-02-20T15:32:59.708+00:00
12,Appraise_property,2342-02-20T15:50:52.216+00:00
12,Check_credit_history,2342-02-20T15:50:52.216+00:00
12,Assess_loan_risk,2342-02-21T09:41:49.794+00:00
12,Assess_eligibility,2342-02-21T09:58:40.256+00:00
12,Prepare_acceptance_pack,2342-02-21T11:00:43.987+00:00
