case,event,timestamp
1,Loan__application_received,2702-02-07T16:30:00.000+00:00
1,Check__application__form_completeness,2702-02-07T16:30:00.000+00:00
1,Appraise_property,2702-02-08T09:10:06.576+00:00
1,Check_credit_history,2702-02-08T09:10:06.576+00:00
1,Assess_loan_risk,2702-02-08T09:11:56.967+00:00
1,Assess_eligibility,2702-02-08T10:47:19.327+00:00
1,Prepare_acceptance_pack,2702-02-08T11:06:29.019+00:00
1,Check_if_home_insurance_quote_is_requested,2702-02-08T11:28:39.413+00:00
1,Send_acceptance_pack,2702-02-08T11:35:50.074+00:00
1,Verify_repayment_agreement,2702-02-08T11:49:21.245+00:00
1,Cancel_application,2702-02-08T12:08:03.312+00:00
1,Loan__application_canceled,2702-02-08T12:09:14.333+00:00
2,Loan__application_received,2255-02-20T10:00:00.000+00:00
2,Check__application__form_completeness,2255-02-20T10:00:00.000+00:00
2,Appraise_property,2255-02-20T10:10:18.022+00:00
2,Check_credit_history,2255-02-20T10:10:18.022+00:00
2,Assess_loan_risk,2255-02-20T10:22:18.454+00:00
2,Assess_eligibility,2255-02-20T11:15:17.667+00:00
2,Prepare_acceptance_pack,2255-02-20T11:51:37.202+00:00
2,Check_if_home_insurance_quote_is_requested,2255-02-20T12:19:56.191+00:00
2,Send_home_insurance_quote,2255-02-20T12:57:54.584+00:00
2,Verify_repayment_agreement,2255-02-20T13:12:12.492+00:00
2,Approve_application,2255-02-20T13:43:20.565+00:00
2,Loan__application_approved,2255-02-20T13:45:55.980+00:00
3,Loan__application_received,2325-02-11T09:30:00.000+00:00
3,Check__application__form_completeness,2325-02-11T09:30:00.000+00:00
3,Appraise_property,2325-02-11T09:40:42.100+00:00
3,Check_credit_history,2325-02-11T09:40:42.100+00:00
3,Assess_loan_risk,2325-02-11T10:16:23.153+00:00
3,Assess_eligibility,2325-02-11T10:29:55.433+00:00
3,Reject_application,2325-02-11T10:39:25.403+00:00
3,Loan_application_rejected,2325-02-11T12:13:10.761+00:00
