case,event,timestamp
1,Loan__application_received,2242-02-06T13:00:00.000+00:00
1,Check__application__form_completeness,2242-02-06T13:00:00.000+00:00
1,Appraise_property,2242-02-06T13:02:48.147+00:00
1,Check_credit_history,2242-02-06T13:02:48.147+00:00
1,Assess_loan_risk,2242-02-06T13:03:48.162+00:00
1,Assess_eligibility,2242-02-06T14:42:49.877+00:00
1,Prepare_acceptance_pack,2242-02-06T15:08:14.788+00:00
1,Check_if_home_insurance_quote_is_requested,2242-02-06T15:20:18.457+00:00
1,Send_acceptance_pack,2242-02-07T09:50:45.742+00:00
1,Verify_repayment_agreement,2242-02-07T09:57:09.644+00:00
1,Approve_application,2242-02-07T10:05:51.063+00:00
1,Loan__application_approved,2242-02-07T10:29:32.311+00:00
2,Loan__application_received,2460-02-18T10:00:00.000+00:00
2,Check__application__form_completeness,2460-02-18T10:00:00.000+00:00
2,Appraise_property,2460-02-18T10:16:34.888+00:00
2,Check_credit_history,2460-02-18T10:16:34.888+00:00
2,Assess_loan_risk,2460-02-18T12:12:34.464+00:00
2,Assess_eligibility,2460-02-18T12:31:47.342+00:00
2,Prepare_acceptance_pack,2460-02-18T12:32:27.210+00:00
2,Check_if_home_insurance_quote_is_requested,2460-02-18T13:11:04.969+00:00
2,Send_acceptance_pack,2460-02-18T13:15:10.698+00:00
2,Verify_repayment_agreement,2460-02-18T13:46:28.138+00:00
2,Approve_application,2460-02-18T14:07:06.162+00:00
2,Loan__application_approved,2460-02-18T14:26:12.832+00:00
3,Loan__application_received,2191-02-12T16:30:00.000+00:00
3,Check__application__form_completeness,2191-02-12T16:30:00.000+00:00
3,Appraise_property,2191-02-12T16:47:26.793+00:00
3,Check_credit_history,2191-02-12T16:47:26.793+00:00
3,Assess_loan_risk,2191-02-12T16:52:57.195+00:00
3,Assess_eligibility,2191-02-13T09:06:13.867+00:00
3,Prepare_acceptance_pack,2191-02-13T09:22:57.248+00:00
3,Check_if_home_insurance_quote_is_requested,2191-02-13T09:26:19.958+00:00
3,Send_home_insurance_quote,2191-02-13T10:50:44.595+00:00
3,Verify_repayment_agreement,2191-02-13T10:53:27.238+00:00
3,Cancel_application,2191-02-13T10:59:23.248+00:00
3,Loan__application_canceled,2191-02-13T11:41:58.270+00:00
4,Loan__application_received,2194-02-05T12:30:00.000+00:00
4,Check__application__form_completeness,2194-02-05T12:30:00.000+00:00
4,Appraise_property,2194-02-05T12:30:55.264+00:00
4,Check_credit_history,2194-02-05T12:30:55.264+00:00
4,Assess_loan_risk,2194-02-05T12:40:37.687+00:00
4,Assess_eligibility,2194-02-05T13:03:25.083+00:00
4,Reject_application,2194-02-05T13:29:20.216+00:00
4,Loan_application_rejected,2194-02-05T13:46:08.384+00:00
5,Loan__application_received,2741-02-06T15:00:00.000+00:00
5,Check__application__form_completeness,2741-02-06T15:00:00.000+00:00
5,Appraise_property,2741-02-06T15:22:00.620+00:00
5,Check_credit_history,2741-02-06T15:22:00.620+00:00
5,Assess_loan_risk,2741-02-06T15:44:04.500+00:00
5,Assess_eligibility,2741-02-06T15:46:41.268+00:00
5,Prepare_acceptance_pack,2741-02-06T16:36:14.747+00:00
5,Check_if_home_insurance_quote_is_requested,2741-02-07T09:54:25.130+00:00
5,Send_home_insurance_quote,2741-02-07T11:32:09.877+00:00
5,Verify_repayment_agreement,2741-02-07T11:32:27.887+00:00
5,Approve_application,2741-02-07T11:39:37.347+00:00
5,Loan__application_approved,2741-02-07T11:50:19.385+00:00
6,Loan__application_received,2183-02-07T10:00:00.000+00:00
6,Check__application__form_completeness,2183-02-07T10:00:00.000+00:00
6,Appraise_property,2183-02-07T10:25:48.823+00:00
6,Check_credit_history,2183-02-07T10:25:48.823+00:00
6,Assess_loan_risk,2183-02-07T10:30:51.865+00:00
6,Assess_eligibility,2183-02-07T10:36:02.833+00:00
6,Prepare_acceptance_pack,2183-02-07T10:48:13.920+00:00
6,Check_if_home_insurance_quote_is_requested,2183-02-07T11:11:23.423+00:00
6,Send_home_insurance_quote,2183-02-07T11:22:33.539+00:00
6,Verify_repayment_agreement,2183-02-07T11:57:58.392+00:00
6,Cancel_application,2183-02-07T12:07:43.360+00:00
6,Loan__application_canceled,2183-02-07T12:25:38.849+00:00
7,Loan__application_received,2813-02-18T15:00:00.000+00:00
7,Check__application__form_completeness,2813-02-18T15:00:00.000+00:00
7,Appraise_property,2813-02-18T15:11:53.305+00:00
7,Check_credit_history,2813-02-18T15:11:53.305+00:00
7,Assess_loan_risk,2813-02-19T09:21:40.765+00:00
7,Assess_eligibility,2813-02-19T09:46:47.241+00:00
7,Reject_application,2813-02-19T11:02:20.422+00:00
7,Loan_application_rejected,2813-02-19T11:11:55.189+00:00
8,Loan__application_received,2818-02-06T13:00:00.000+00:00
8,Check__application__form_completeness,2818-02-06T13:00:00.000+00:00
8,Appraise_property,2818-02-06T14:35:46.648+00:00
8,Check_credit_history,2818-02-06T14:35:46.648+00:00
8,Assess_loan_risk,2818-02-06T15:49:17.610+00:00
8,Assess_eligibility,2818-02-06T15:54:18.952+00:00
8,Reject_application,2818-02-06T16:06:41.135+00:00
8,Loan_application_rejected,2818-02-06T16:07:31.502+00:00
9,Loan__application_received,2264-02-13T14:30:00.000+00:00
9,Check__application__form_completeness,2264-02-13T14:30:00.000+00:00
9,Appraise_property,2264-02-13T15:00:17.986+00:00
9,Check_credit_history,2264-02-13T15:00:17.986+00:00
9,Assess_loan_risk,2264-02-13T15:28:52.759+00:00
9,Assess_eligibility,2264-02-13T15:35:33.911+00:00
9,Prepare_acceptance_pack,2264-02-13T16:00:35.236+00:00
9,Check_if_home_insurance_quote_is_requested,2264-02-13T16:25:59.644+00:00
9,Send_home_insurance_quote,2264-02-13T16:40:21.631+00:00
9,Verify_repayment_agreement,2264-02-14T10:27:33.277+00:00
9,Approve_application,2264-02-14T10:28:44.102+00:00
9,Loan__application_approved,2264-02-14T11:18:20.341+00:00
10,Loan__application_received,2937-02-13T13:30:00.000+00:00
10,Check__application__form_completeness,2937-02-13T13:30:00.000+00:00
10,Appraise_property,2937-02-13T13:38:38.794+00:00
10,Check_credit_history,2937-02-13T13:38:38.794+00:00
10,Assess_loan_risk,2937-02-13T13:57:50.289+00:00
10,Assess_eligibility,2937-02-13T14:49:00.521+00:00
10,Prepare_acceptance_pack,2937-02-13T15:49:16.044+00:00
10,Check_if_home_insurance_quote_is_requested,2937-02-13T16:54:38.952+00:00
10,Send_acceptance_pack,2937-02-14T09:32:34.939+00:00
10,Verify_repayment_agreement,2937-02-14T09:56:33.509+00:00
10,Cancel_application,2937-02-14T10:26:29.293+00:00
10,Loan__application_canceled,2937-02-14T10:28:48.193+00:00
11,Loan__application_received,2498-02-08T14:00:00.000+00:00
11,Check__application__form_completeness,2498-02-08T14:00:00.000+00:00
11,Appraise_property,2498-02-08T14:46:37.467+00:00
11,Check_credit_history,2498-02-08T14:46:37.467+00:00
11,Assess_loan_risk,2498-02-08T15:09:31.455+00:00
11,Assess_eligibility,2498-02-08T15:35:02.032+00:00
11,Reject_application,2498-02-08T16:59:45.688+00:00
11,Loan_application_rejected,2498-02-11T10:03:00.586+00:00
12,Loan__application_received,2610-02-08T09:30:00.000+00:00
12,Check__application__form_completeness,2610-02-08T09:30:00.000+00:00
12,Appraise_property,2610-02-08T10:26:15.335+00:00
12,Check_credit_history,2610-02-08T10:26:15.335+00:00
12,Assess_loan_risk,2610-02-08T11:03:59.745+00:00
12,Assess_eligibility,2610-02-08T11:26:04.487+00:00
12,Reject_application,2610-02-08T12:08:41.962+00:00
12,Loan_application_rejected,2610-02-08T12:47:32.188+00:00
13,Loan__application_received,2332-02-08T11:30:00.000+00:00
13,Check__application__form_completeness,2332-02-08T11:30:00.000+00:00
13,Appraise_property,2332-02-08T12:22:09.056+00:00
13,Check_credit_history,2332-02-08T12:22:09.056+00:00
13,Assess_loan_risk,2332-02-08T13:10:51.715+00:00
13,Assess_eligibility,2332-02-08T14:43:41.837+00:00
13,Reject_application,2332-02-08T15:02:52.100+00:00
13,Loan_application_rejected,2332-02-08T15:35:46.911+00:00
14,Loan__application_received,2195-02-12T13:00:00.000+00:00
14,Check__application__form_completeness,2195-02-12T13:00:00.000+00:00
14,Appraise_property,2195-02-12T13:00:34.687+00:00
14,Check_credit_history,2195-02-12T13:00:34.687+00:00
14,Assess_loan_risk,2195-02-12T13:14:56.971+00:00
14,Assess_eligibility,2195-02-12T13:27:52.140+00:00
14,Prepare_acceptance_pack,2195-02-12T13:28:21.644+00:00
14,Check_if_home_insurance_quote_is_requested,2195-02-12T14:07:25.622+00:00
14,Send_home_insurance_quote,2195-02-12T14:40:16.220+00:00
14,Verify_repayment_agreement,2195-02-12T15:14:08.072+00:00
14,Cancel_application,2195-02-12T15:59:38.818+00:00
14,Loan__application_canceled,2195-02-12T16:13:23.361+00:00
15,Loan__application_received,2022-02-19T09:30:00.000+00:00
15,Check__application__form_completeness,2022-02-19T09:30:00.000+00:00
15,Appraise_property,2022-02-19T09:41:19.428+00:00
15,Check_credit_history,2022-02-19T09:41:19.428+00:00
15,Assess_loan_risk,2022-02-19T10:11:02.649+00:00
15,Assess_eligibility,2022-02-19T10:16:44.618+00:00
15,Reject_application,2022-02-19T10:48:54.838+00:00
15,Loan_application_rejected,2022-02-19T11:23:08.823+00:00
16,Loan__application_received,2847-02-06T14:00:00.000+00:00
16,Check__application__form_completeness,2847-02-06T14:00:00.000+00:00
16,Appraise_property,2847-02-06T14:43:29.803+00:00
16,Check_credit_history,2847-02-06T14:43:29.803+00:00
16,Assess_loan_risk,2847-02-06T14:52:04.208+00:00
16,Assess_eligibility,2847-02-06T15:14:32.987+00:00
16,Prepare_acceptance_pack,2847-02-06T16:09:34.495+00:00
16,Check_if_home_insurance_quote_is_requested,2847-02-06T16:28:34.519+00:00
16,Send_home_insurance_quote,2847-02-06T16:28:40.518+00:00
16,Verify_repayment_agreement,2847-02-07T09:14:46.949+00:00
16,Approve_application,2847-02-07T09:34:51.949+00:00
16,Loan__application_approved,2847-02-07T10:48:42.119+00:00
17,Loan__application_received,2058-02-04T11:00:00.000+00:00
