case,event,timestamp
1,Loan__application_received,2570-02-07T15:00:00.000+00:00
1,Check__application__form_completeness,2570-02-07T15:00:00.000+00:00
1,Appraise_property,2570-02-07T15:07:48.620+00:00
1,Check_credit_history,2570-02-07T15:07:48.620+00:00
1,Assess_loan_risk,2570-02-07T15:14:34.599+00:00
1,Assess_eligibility,2570-02-07T15:32:42.037+00:00
1,Prepare_acceptance_pack,2570-02-07T16:30:45.415+00:00
1,Check_if_home_insurance_quote_is_requested,2570-02-07T16:46:48.615+00:00
1,Send_acceptance_pack,2570-02-07T16:52:52.445+00:00
1,Verify_repayment_agreement,2570-02-08T10:20:07.311+00:00
1,Approve_application,2570-02-08T10:24:11.860+00:00
1,Loan__application_approved,2570-02-08T10:25:36.805+00:00
2,Loan__application_received,2651-02-25T09:30:00.000+00:00
2,Check__application__form_completeness,2651-02-25T09:30:00.000+00:00
2,Appraise_property,2651-02-25T09:33:48.922+00:00
2,Check_credit_history,2651-02-25T09:33:48.922+00:00
2,Assess_loan_risk,2651-02-25T09:34:15.496+00:00
2,Assess_eligibility,2651-02-25T09:37:46.858+00:00
2,Reject_application,2651-02-25T09:53:16.895+00:00
2,Loan_application_rejected,2651-02-25T11:07:20.768+00:00
3,Loan__application_received,2047-02-18T14:30:00.000+00:00
3,Check__application__form_completeness,2047-02-18T14:30:00.000+00:00
3,Appraise_property,2047-02-18T15:22:54.431+00:00
3,Check_credit_history,2047-02-18T15:22:54.431+00:00
3,Assess_loan_risk,2047-02-18T15:29:45.718+00:00
3,Assess_eligibility,2047-02-18T15:42:32.439+00:00
3,Prepare_acceptance_pack,2047-02-19T09:21:51.274+00:00
3,Check_if_home_insurance_quote_is_requested,2047-02-19T09:23:34.348+00:00
3,Send_home_insurance_quote,2047-02-19T11:16:07.776+00:00
3,Verify_repayment_agreement,2047-02-19T11:51:16.776+00:00
3,Cancel_application,2047-02-19T12:16:31.776+00:00
3,Loan__application_canceled,2047-02-19T12:34:39.953+00:00
4,Loan__application_received,2200-02-13T09:30:00.000+00:00
4,Check__application__form_completeness,2200-02-13T09:30:00.000+00:00
4,Return_application_back_to_applicant,2200-02-13T10:26:13.717+00:00
4,Receive_updated_application,2200-02-13T11:38:27.829+00:00
4,Check__application__form_completeness,2200-02-13T12:30:01.774+00:00
4,Appraise_property,2200-02-13T13:01:57.407+00:00
4,Check_credit_history,2200-02-13T13:01:57.407+00:00
4,Assess_loan_risk,2200-02-13T13:09:25.976+00:00
4,Assess_eligibility,2200-02-13T14:02:48.841+00:00
4,Prepare_acceptance_pack,2200-02-13T14:27:16.309+00:00
4,Check_if_home_insurance_quote_is_requested,2200-02-13T14:53:06.332+00:00
4,Send_acceptance_pack,2200-02-13T15:00:01.203+00:00
4,Verify_repayment_agreement,2200-02-13T15:31:38.582+00:00
4,Approve_application,2200-02-13T16:58:01.407+00:00
4,Loan__application_approved,2200-02-14T09:41:38.161+00:00
5,Loan__application_received,2592-02-18T14:00:00.000+00:00
5,Check__application__form_completeness,2592-02-18T14:00:00.000+00:00
5,Appraise_property,2592-02-18T14:26:41.599+00:00
5,Check_credit_history,2592-02-18T14:26:41.599+00:00
5,Assess_loan_risk,2592-02-18T15:40:59.070+00:00
5,Assess_eligibility,2592-02-18T15:46:49.330+00:00
5,Prepare_acceptance_pack,2592-02-18T16:25:13.269+00:00
5,Check_if_home_insurance_quote_is_requested,2592-02-18T16:57:47.983+00:00
5,Send_acceptance_pack,2592-02-19T09:20:17.179+00:00
5,Verify_repayment_agreement,2592-02-19T09:23:42.215+00:00
5,Cancel_application,2592-02-19T09:52:16.455+00:00
5,Loan__application_canceled,2592-02-19T10:43:15.228+00:00
6,Loan__application_received,2804-02-04T13:00:00.000+00:00
6,Check__application__form_completeness,2804-02-04T13:00:00.000+00:00
6,Appraise_property,2804-02-04T13:23:10.780+00:00
6,Check_credit_history,2804-02-04T13:23:10.780+00:00
6,Assess_loan_risk,2804-02-04T13:40:50.770+00:00
6,Assess_eligibility,2804-02-04T14:38:41.255+00:00
6,Reject_application,2804-02-04T14:53:09.188+00:00
6,Loan_application_rejected,2804-02-04T14:58:12.367+00:00
7,Loan__application_received,2330-02-14T12:30:00.000+00:00
7,Check__application__form_completeness,2330-02-14T12:30:00.000+00:00
7,Appraise_property,2330-02-14T12:55:59.980+00:00
7,Check_credit_history,2330-02-14T12:55:59.980+00:00
7,Assess_loan_risk,2330-02-14T13:23:17.790+00:00
7,Assess_eligibility,2330-02-14T13:23:37.974+00:00
7,Prepare_acceptance_pack,2330-02-14T13:52:34.487+00:00
7,Check_if_home_insurance_quote_is_requested,2330-02-14T14:00:04.086+00:00
7,Send_home_insurance_quote,2330-02-14T15:05:03.443+00:00
7,Verify_repayment_agreement,2330-02-14T15:07:42.166+00:00
7,Cancel_application,2330-02-14T15:52:26.870+00:00
7,Loan__application_canceled,2330-02-14T16:06:37.898+00:00
8,Loan__application_received,2729-02-22T09:30:00.000+00:00
8,Check__application__form_completeness,2729-02-22T09:30:00.000+00:00
8,Appraise_property,2729-02-22T10:47:33.640+00:00
8,Check_credit_history,2729-02-22T10:47:33.640+00:00
8,Assess_loan_risk,2729-02-22T12:00:41.298+00:00
8,Assess_eligibility,2729-02-22T12:34:51.751+00:00
8,Reject_application,2729-02-22T12:45:14.216+00:00
8,Loan_application_rejected,2729-02-22T12:45:15.986+00:00
9,Loan__application_received,2553-02-13T13:30:00.000+00:00
9,Check__application__form_completeness,2553-02-13T13:30:00.000+00:00
9,Return_application_back_to_applicant,2553-02-13T13:36:40.329+00:00
9,Receive_updated_application,2553-02-13T13:47:23.038+00:00
9,Check__application__form_completeness,2553-02-13T14:22:00.355+00:00
9,Appraise_property,2553-02-13T16:08:09.477+00:00
9,Check_credit_history,2553-02-13T16:08:09.477+00:00
9,Assess_loan_risk,2553-02-13T16:44:52.517+00:00
9,Assess_eligibility,2553-02-14T09:05:04.924+00:00
9,Prepare_acceptance_pack,2553-02-14T09:25:13.369+00:00
9,Check_if_home_insurance_quote_is_requested,2553-02-14T09:26:04.347+00:00
9,Send_home_insurance_quote,2553-02-14T09:33:19.183+00:00
9,Verify_repayment_agreement,2553-02-14T10:15:52.245+00:00
9,Cancel_application,2553-02-14T10:45:54.725+00:00
9,Loan__application_canceled,2553-02-14T11:34:30.334+00:00
10,Loan__application_received,2936-02-07T12:00:00.000+00:00
10,Check__application__form_completeness,2936-02-07T12:00:00.000+00:00
10,Appraise_property,2936-02-07T12:16:14.384+00:00
10,Check_credit_history,2936-02-07T12:16:14.384+00:00
10,Assess_loan_risk,2936-02-07T12:26:39.300+00:00
10,Assess_eligibility,2936-02-07T12:55:30.247+00:00
10,Prepare_acceptance_pack,2936-02-07T13:03:18.456+00:00
10,Check_if_home_insurance_quote_is_requested,2936-02-07T13:45:15.927+00:00
10,Send_home_insurance_quote,2936-02-07T13:48:39.736+00:00
10,Verify_repayment_agreement,2936-02-07T13:50:11.751+00:00
10,Cancel_application,2936-02-07T14:22:19.865+00:00
10,Loan__application_canceled,2936-02-07T14:25:18.014+00:00
11,Loan__application_received,2962-02-05T12:30:00.000+00:00
11,Check__application__form_completeness,2962-02-05T12:30:00.000+00:00
11,Appraise_property,2962-02-05T13:02:26.871+00:00
11,Check_credit_history,2962-02-05T13:02:26.871+00:00
11,Assess_loan_risk,2962-02-05T14:16:50.909+00:00
11,Assess_eligibility,2962-02-05T14:35:38.783+00:00
11,Prepare_acceptance_pack,2962-02-05T14:45:11.159+00:00
11,Check_if_home_insurance_quote_is_requested,2962-02-05T14:49:17.136+00:00
11,Send_acceptance_pack,2962-02-05T15:58:53.032+00:00
11,Verify_repayment_agreement,2962-02-05T16:34:07.978+00:00
11,Cancel_application,2962-02-05T16:49:35.381+00:00
11,Loan__application_canceled,2962-02-06T09:15:30.476+00:00
12,Loan__application_received,2097-02-08T14:30:00.000+00:00
12,Check__application__form_completeness,2097-02-08T14:30:00.000+00:00
12,Appraise_property,2097-02-08T14:57:49.279+00:00
12,Check_credit_history,2097-02-08T14:57:49.279+00:00
12,Assess_loan_risk,2097-02-08T15:31:19.349+00:00
12,Assess_eligibility,2097-02-08T15:51:01.744+00:00
12,Reject_application,2097-02-11T10:22:53.530+00:00
12,Loan_application_rejected,2097-02-11T10:39:35.715+00:00
13,Loan__application_received,2024-02-11T13:00:00.000+00:00
13,Check__application__form_completeness,2024-02-11T13:00:00.000+00:00
13,Appraise_property,2024-02-11T13:12:52.830+00:00
13,Check_credit_history,2024-02-11T13:12:52.830+00:00
13,Assess_loan_risk,2024-02-11T13:30:23.786+00:00
13,Assess_eligibility,2024-02-11T15:37:17.522+00:00
13,Reject_application,2024-02-11T16:10:18.125+00:00
13,Loan_application_rejected,2024-02-12T10:09:08.136+00:00
14,Loan__application_received,2548-02-12T14:30:00.000+00:00
14,Check__application__form_completeness,2548-02-12T14:30:00.000+00:00
14,Appraise_property,2548-02-12T14:52:44.698+00:00
14,Check_credit_history,2548-02-12T14:52:44.698+00:00
14,Assess_loan_risk,2548-02-12T15:37:01.831+00:00
14,Assess_eligibility,2548-02-12T16:02:05.452+00:00
14,Prepare_acceptance_pack,2548-02-12T16:11:01.332+00:00
14,Check_if_home_insurance_quote_is_requested,2548-02-12T16:48:24.956+00:00
14,Send_home_insurance_quote,2548-02-13T09:36:41.309+00:00
14,Verify_repayment_agreement,2548-02-13T10:27:07.627+00:00
14,Approve_application,2548-02-13T11:13:46.968+00:00
14,Loan__application_approved,2548-02-13T11:35:43.086+00:00
15,Loan__application_received,2563-02-15T16:00:00.000+00:00
15,Check__application__form_completeness,2563-02-15T16:00:00.000+00:00
15,Appraise_property,2563-02-15T16:54:21.657+00:00
15,Check_credit_history,2563-02-15T16:54:21.657+00:00
15,Assess_loan_risk,2563-02-18T09:32:24.839+00:00
