case,event,timestamp
1,Loan__application_received,2110-02-20T12:00:00.000+00:00
1,Check__application__form_completeness,2110-02-20T12:00:00.000+00:00
1,Appraise_property,2110-02-20T13:30:19.201+00:00
1,Check_credit_history,2110-02-20T13:30:19.201+00:00
1,Assess_loan_risk,2110-02-20T14:28:36.629+00:00
1,Assess_eligibility,2110-02-20T14:34:39.494+00:00
1,Reject_application,2110-02-20T15:27:26.911+00:00
1,Loan_application_rejected,2110-02-20T15:32:35.408+00:00
2,Loan__application_received,2441-02-20T15:30:00.000+00:00
2,Check__application__form_completeness,2441-02-20T15:30:00.000+00:00
2,Appraise_property,2441-02-20T16:03:43.273+00:00
2,Check_credit_history,2441-02-20T16:03:43.273+00:00
2,Assess_loan_risk,2441-02-20T16:19:38.144+00:00
2,Assess_eligibility,2441-02-20T16:39:08.077+00:00
2,Prepare_acceptance_pack,2441-02-20T16:47:20.718+00:00
2,Check_if_home_insurance_quote_is_requested,2441-02-21T09:01:04.566+00:00
2,Send_acceptance_pack,2441-02-21T09:11:26.003+00:00
2,Verify_repayment_agreement,2441-02-21T09:48:13.043+00:00
2,Approve_application,2441-02-21T10:03:07.738+00:00
2,Loan__application_approved,2441-02-21T10:28:22.554+00:00
3,Loan__application_received,2434-02-06T13:00:00.000+00:00
3,Check__application__form_completeness,2434-02-06T13:00:00.000+00:00
3,Appraise_property,2434-02-06T13:46:55.990+00:00
3,Check_credit_history,2434-02-06T13:46:55.990+00:00
3,Assess_loan_risk,2434-02-06T13:56:13.371+00:00
3,Assess_eligibility,2434-02-06T14:08:23.126+00:00
3,Prepare_acceptance_pack,2434-02-06T14:16:49.583+00:00
3,Check_if_home_insurance_quote_is_requested,2434-02-06T14:19:12.711+00:00
3,Send_acceptance_pack,2434-02-06T15:05:27.795+00:00
3,Verify_repayment_agreement,2434-02-06T15:58:01.035+00:00
3,Approve_application,2434-02-07T09:07:10.574+00:00
3,Loan__application_approved,2434-02-07T09:54:12.427+00:00
4,Loan__application_received,2521-02-06T12:30:00.000+00:00
4,Check__application__form_completeness,2521-02-06T12:30:00.000+00:00
4,Appraise_property,2521-02-06T12:49:22.747+00:00
4,Check_credit_history,2521-02-06T12:49:22.747+00:00
4,Assess_loan_risk,2521-02-06T12:51:45.466+00:00
4,Assess_eligibility,2521-02-06T13:25:39.661+00:00
4,Reject_application,2521-02-06T13:40:29.161+00:00
4,Loan_application_rejected,2521-02-06T14:38:00.067+00:00
5,Loan__application_received,2950-02-25T12:30:00.000+00:00
5,Check__application__form_completeness,2950-02-25T12:30:00.000+00:00
5,Return_application_back_to_applicant,2950-02-25T12:40:21.285+00:00
5,Receive_updated_application,2950-02-25T12:52:49.578+00:00
5,Check__application__form_completeness,2950-02-25T12:53:08.121+00:00
5,Appraise_property,2950-02-25T13:56:53.504+00:00
5,Check_credit_history,2950-02-25T13:56:53.504+00:00
5,Assess_loan_risk,2950-02-25T13:58:36.008+00:00
5,Assess_eligibility,2950-02-25T14:42:42.067+00:00
5,Prepare_acceptance_pack,2950-02-25T15:04:25.979+00:00
5,Check_if_home_insurance_quote_is_requested,2950-02-25T15:19:58.918+00:00
5,Send_acceptance_pack,2950-02-25T15:33:46.091+00:00
5,Verify_repayment_agreement,2950-02-25T16:37:06.102+00:00
5,Cancel_application,2950-02-25T16:42:26.007+00:00
