case,event,timestamp
1,Loan__application_received,2016-02-18T14:00:00.000+00:00
1,Check__application__form_completeness,2016-02-18T14:00:00.000+00:00
1,Appraise_property,2016-02-18T14:15:58.949+00:00
1,Check_credit_history,2016-02-18T14:15:58.949+00:00
1,Assess_loan_risk,2016-02-18T15:15:11.252+00:00
1,Assess_eligibility,2016-02-18T15:27:15.022+00:00
1,Reject_application,2016-02-18T16:50:49.867+00:00
1,Loan_application_rejected,2016-02-18T16:52:11.894+00:00
2,Loan__application_received,2954-02-07T15:00:00.000+00:00
2,Check__application__form_completeness,2954-02-07T15:00:00.000+00:00
2,Appraise_property,2954-02-07T15:18:28.330+00:00
2,Check_credit_history,2954-02-07T15:18:28.330+00:00
2,Assess_loan_risk,2954-02-07T15:19:54.419+00:00
2,Assess_eligibility,2954-02-07T16:08:16.659+00:00
2,Reject_application,2954-02-07T16:42:36.452+00:00
2,Loan_application_rejected,2954-02-07T16:53:31.450+00:00
3,Loan__application_received,2269-02-25T11:30:00.000+00:00
3,Check__application__form_completeness,2269-02-25T11:30:00.000+00:00
3,Appraise_property,2269-02-25T11:32:32.764+00:00
3,Check_credit_history,2269-02-25T11:32:32.764+00:00
3,Assess_loan_risk,2269-02-25T11:54:34.691+00:00
3,Assess_eligibility,2269-02-25T12:43:08.166+00:00
3,Prepare_acceptance_pack,2269-02-25T13:30:24.782+00:00
3,Check_if_home_insurance_quote_is_requested,2269-02-25T13:35:57.689+00:00
3,Send_acceptance_pack,2269-02-25T13:43:38.298+00:00
3,Verify_repayment_agreement,2269-02-25T13:50:18.925+00:00
3,Cancel_application,2269-02-25T13:56:53.877+00:00
3,Loan__application_canceled,2269-02-25T13:58:04.359+00:00
4,Loan__application_received,2767-02-15T12:00:00.000+00:00
4,Check__application__form_completeness,2767-02-15T12:00:00.000+00:00
4,Appraise_property,2767-02-15T12:01:26.004+00:00
4,Check_credit_history,2767-02-15T12:01:26.004+00:00
4,Assess_loan_risk,2767-02-15T14:07:30.625+00:00
4,Assess_eligibility,2767-02-15T14:19:05.228+00:00
4,Reject_application,2767-02-15T14:27:05.863+00:00
4,Loan_application_rejected,2767-02-15T14:46:46.686+00:00
5,Loan__application_received,2187-02-15T17:00:00.000+00:00
5,Check__application__form_completeness,2187-02-15T17:00:00.000+00:00
5,Appraise_property,2187-02-18T09:56:58.334+00:00
5,Check_credit_history,2187-02-18T09:56:58.334+00:00
5,Assess_loan_risk,2187-02-18T10:04:17.703+00:00
5,Assess_eligibility,2187-02-18T10:50:00.380+00:00
5,Reject_application,2187-02-18T11:02:02.454+00:00
5,Loan_application_rejected,2187-02-18T12:12:39.683+00:00
6,Loan__application_received,2026-02-05T10:30:00.000+00:00
6,Check__application__form_completeness,2026-02-05T10:30:00.000+00:00
6,Appraise_property,2026-02-05T10:39:27.460+00:00
6,Check_credit_history,2026-02-05T10:39:27.460+00:00
6,Assess_loan_risk,2026-02-05T10:56:17.378+00:00
6,Assess_eligibility,2026-02-05T11:00:21.149+00:00
6,Reject_application,2026-02-05T11:38:03.604+00:00
6,Loan_application_rejected,2026-02-05T13:15:18.559+00:00
7,Loan__application_received,2885-02-15T11:30:00.000+00:00
7,Check__application__form_completeness,2885-02-15T11:30:00.000+00:00
7,Appraise_property,2885-02-15T11:31:20.908+00:00
7,Check_credit_history,2885-02-15T11:31:20.908+00:00
7,Assess_loan_risk,2885-02-15T11:56:06.924+00:00
7,Assess_eligibility,2885-02-15T12:24:43.071+00:00
7,Reject_application,2885-02-15T13:19:38.964+00:00
7,Loan_application_rejected,2885-02-15T13:38:39.004+00:00
8,Loan__application_received,2365-02-06T14:30:00.000+00:00
8,Check__application__form_completeness,2365-02-06T14:30:00.000+00:00
8,Appraise_property,2365-02-06T15:04:20.621+00:00
8,Check_credit_history,2365-02-06T15:04:20.621+00:00
8,Assess_loan_risk,2365-02-06T15:32:31.162+00:00
8,Assess_eligibility,2365-02-06T15:50:49.727+00:00
8,Prepare_acceptance_pack,2365-02-06T15:56:51.390+00:00
8,Check_if_home_insurance_quote_is_requested,2365-02-06T16:12:40.240+00:00
8,Send_home_insurance_quote,2365-02-06T16:37:52.373+00:00
8,Verify_repayment_agreement,2365-02-06T16:59:52.507+00:00
8,Cancel_application,2365-02-07T10:11:00.849+00:00
8,Loan__application_canceled,2365-02-07T10:33:48.596+00:00
9,Loan__application_received,2148-02-06T13:30:00.000+00:00
9,Check__application__form_completeness,2148-02-06T13:30:00.000+00:00
9,Appraise_property,2148-02-06T14:41:58.225+00:00
9,Check_credit_history,2148-02-06T14:41:58.225+00:00
9,Assess_loan_risk,2148-02-06T14:58:13.055+00:00
9,Assess_eligibility,2148-02-06T15:02:48.472+00:00
9,Reject_application,2148-02-06T15:08:08.860+00:00
9,Loan_application_rejected,2148-02-07T09:22:31.900+00:00
10,Loan__application_received,2152-02-04T09:30:00.000+00:00
10,Check__application__form_completeness,2152-02-04T09:30:00.000+00:00
10,Appraise_property,2152-02-04T09:39:00.918+00:00
10,Check_credit_history,2152-02-04T09:39:00.918+00:00
10,Assess_loan_risk,2152-02-04T09:40:45.266+00:00
10,Assess_eligibility,2152-02-04T10:37:55.112+00:00
10,Reject_application,2152-02-04T10:48:48.636+00:00
10,Loan_application_rejected,2152-02-04T11:26:21.446+00:00
11,Loan__application_received,2889-02-05T09:30:00.000+00:00
11,Check__application__form_completeness,2889-02-05T09:30:00.000+00:00
11,Appraise_property,2889-02-05T09:50:32.751+00:00
11,Check_credit_history,2889-02-05T09:50:32.751+00:00
11,Assess_loan_risk,2889-02-05T10:08:10.367+00:00
11,Assess_eligibility,2889-02-05T11:08:37.924+00:00
11,Prepare_acceptance_pack,2889-02-05T11:51:12.948+00:00
11,Check_if_home_insurance_quote_is_requested,2889-02-05T12:01:44.816+00:00
11,Send_home_insurance_quote,2889-02-05T13:25:43.957+00:00
11,Verify_repayment_agreement,2889-02-05T13:50:39.883+00:00
11,Cancel_application,2889-02-05T13:51:08.786+00:00
11,Loan__application_canceled,2889-02-05T14:32:55.880+00:00
12,Loan__application_received,2859-02-11T16:00:00.000+00:00
