case,event,timestamp
1,Loan__application_received,2232-02-22T16:00:00.000+00:00
1,Check__application__form_completeness,2232-02-22T16:00:00.000+00:00
1,Appraise_property,2232-02-22T16:24:38.025+00:00
1,Check_credit_history,2232-02-22T16:24:38.025+00:00
1,Assess_loan_risk,2232-02-22T16:41:10.589+00:00
1,Assess_eligibility,2232-02-25T09:31:59.015+00:00
1,Reject_application,2232-02-25T10:21:05.442+00:00
1,Loan_application_rejected,2232-02-25T11:03:38.670+00:00
2,Loan__application_received,2111-02-25T10:00:00.000+00:00
2,Check__application__form_completeness,2111-02-25T10:00:00.000+00:00
2,Appraise_property,2111-02-25T11:05:42.309+00:00
2,Check_credit_history,2111-02-25T11:05:42.309+00:00
2,Assess_loan_risk,2111-02-25T11:25:37.006+00:00
2,Assess_eligibility,2111-02-25T12:39:48.293+00:00
2,Reject_application,2111-02-25T12:42:49.283+00:00
2,Loan_application_rejected,2111-02-25T12:51:01.920+00:00
3,Loan__application_received,2947-02-15T13:30:00.000+00:00
3,Check__application__form_completeness,2947-02-15T13:30:00.000+00:00
3,Appraise_property,2947-02-15T13:34:02.604+00:00
3,Check_credit_history,2947-02-15T13:34:02.604+00:00
3,Assess_loan_risk,2947-02-15T14:03:10.613+00:00
3,Assess_eligibility,2947-02-15T14:54:54.899+00:00
3,Prepare_acceptance_pack,2947-02-15T15:14:33.568+00:00
3,Check_if_home_insurance_quote_is_requested,2947-02-15T15:15:47.425+00:00
3,Send_acceptance_pack,2947-02-15T15:22:36.849+00:00
3,Verify_repayment_agreement,2947-02-15T15:33:41.774+00:00
3,Cancel_application,2947-02-15T15:36:43.204+00:00
3,Loan__application_canceled,2947-02-15T15:49:15.877+00:00
4,Loan__application_received,2553-02-13T16:00:00.000+00:00
4,Check__application__form_completeness,2553-02-13T16:00:00.000+00:00
4,Appraise_property,2553-02-13T16:11:37.242+00:00
4,Check_credit_history,2553-02-13T16:11:37.242+00:00
4,Assess_loan_risk,2553-02-13T16:18:08.496+00:00
4,Assess_eligibility,2553-02-14T09:14:21.172+00:00
4,Prepare_acceptance_pack,2553-02-14T09:33:55.516+00:00
4,Check_if_home_insurance_quote_is_requested,2553-02-14T10:01:41.446+00:00
4,Send_acceptance_pack,2553-02-14T10:08:02.238+00:00
4,Verify_repayment_agreement,2553-02-14T10:22:58.484+00:00
4,Approve_application,2553-02-14T10:28:36.547+00:00
4,Loan__application_approved,2553-02-14T11:16:31.174+00:00
5,Loan__application_received,2590-02-04T16:30:00.000+00:00
5,Check__application__form_completeness,2590-02-04T16:30:00.000+00:00
5,Appraise_property,2590-02-05T09:19:07.948+00:00
5,Check_credit_history,2590-02-05T09:19:07.948+00:00
5,Assess_loan_risk,2590-02-05T09:28:12.201+00:00
5,Assess_eligibility,2590-02-05T09:58:06.408+00:00
5,Reject_application,2590-02-05T10:34:04.159+00:00
5,Loan_application_rejected,2590-02-05T10:56:23.615+00:00
6,Loan__application_received,2584-02-04T15:00:00.000+00:00
6,Check__application__form_completeness,2584-02-04T15:00:00.000+00:00
6,Appraise_property,2584-02-04T15:12:47.101+00:00
6,Check_credit_history,2584-02-04T15:12:47.101+00:00
6,Assess_loan_risk,2584-02-04T15:53:31.778+00:00
6,Assess_eligibility,2584-02-05T09:11:03.833+00:00
6,Reject_application,2584-02-05T09:20:05.479+00:00
6,Loan_application_rejected,2584-02-05T09:48:33.586+00:00
7,Loan__application_received,2944-02-15T09:30:00.000+00:00
7,Check__application__form_completeness,2944-02-15T09:30:00.000+00:00
7,Appraise_property,2944-02-15T09:32:56.058+00:00
7,Check_credit_history,2944-02-15T09:32:56.058+00:00
7,Assess_loan_risk,2944-02-15T09:34:03.062+00:00
7,Assess_eligibility,2944-02-15T11:15:05.967+00:00
7,Prepare_acceptance_pack,2944-02-15T12:17:12.244+00:00
7,Check_if_home_insurance_quote_is_requested,2944-02-15T12:56:53.978+00:00
7,Send_home_insurance_quote,2944-02-15T13:33:56.456+00:00
7,Verify_repayment_agreement,2944-02-15T14:12:18.886+00:00
7,Cancel_application,2944-02-15T14:34:32.976+00:00
7,Loan__application_canceled,2944-02-15T14:53:46.378+00:00
8,Loan__application_received,2651-02-25T09:30:00.000+00:00
8,Check__application__form_completeness,2651-02-25T09:30:00.000+00:00
8,Appraise_property,2651-02-25T09:33:48.922+00:00
8,Check_credit_history,2651-02-25T09:33:48.922+00:00
8,Assess_loan_risk,2651-02-25T09:34:15.496+00:00
8,Assess_eligibility,2651-02-25T09:37:46.858+00:00
8,Reject_application,2651-02-25T09:53:16.895+00:00
8,Loan_application_rejected,2651-02-25T11:07:20.768+00:00
9,Loan__application_received,2411-02-22T16:30:00.000+00:00
9,Check__application__form_completeness,2411-02-22T16:30:00.000+00:00
9,Return_application_back_to_applicant,2411-02-25T09:18:53.175+00:00
9,Receive_updated_application,2411-02-25T09:36:41.558+00:00
9,Check__application__form_completeness,2411-02-25T09:46:06.264+00:00
9,Appraise_property,2411-02-25T09:48:13.621+00:00
9,Check_credit_history,2411-02-25T09:48:13.621+00:00
9,Assess_loan_risk,2411-02-25T10:02:06.321+00:00
9,Assess_eligibility,2411-02-25T10:19:26.657+00:00
9,Reject_application,2411-02-25T11:03:12.365+00:00
9,Loan_application_rejected,2411-02-25T11:20:54.810+00:00
10,Loan__application_received,2189-02-13T10:00:00.000+00:00
10,Check__application__form_completeness,2189-02-13T10:00:00.000+00:00
10,Appraise_property,2189-02-13T10:22:18.084+00:00
10,Check_credit_history,2189-02-13T10:22:18.084+00:00
10,Assess_loan_risk,2189-02-13T11:30:07.917+00:00
10,Assess_eligibility,2189-02-13T13:43:35.603+00:00
10,Prepare_acceptance_pack,2189-02-13T13:46:32.604+00:00
10,Check_if_home_insurance_quote_is_requested,2189-02-13T14:52:15.868+00:00
10,Send_home_insurance_quote,2189-02-13T15:26:24.174+00:00
10,Verify_repayment_agreement,2189-02-13T16:21:49.881+00:00
10,Cancel_application,2189-02-13T16:49:07.940+00:00
10,Loan__application_canceled,2189-02-14T09:51:14.605+00:00
11,Loan__application_received,2845-02-25T11:30:00.000+00:00
11,Check__application__form_completeness,2845-02-25T11:30:00.000+00:00
11,Appraise_property,2845-02-25T12:14:44.095+00:00
11,Check_credit_history,2845-02-25T12:14:44.095+00:00
11,Assess_loan_risk,2845-02-25T13:14:45.857+00:00
11,Assess_eligibility,2845-02-25T13:20:31.068+00:00
11,Prepare_acceptance_pack,2845-02-25T13:40:32.213+00:00
11,Check_if_home_insurance_quote_is_requested,2845-02-25T13:51:36.453+00:00
11,Send_home_insurance_quote,2845-02-25T14:05:43.011+00:00
11,Verify_repayment_agreement,2845-02-25T14:26:42.215+00:00
11,Approve_application,2845-02-25T14:29:20.959+00:00
11,Loan__application_approved,2845-02-25T15:22:22.194+00:00
12,Loan__application_received,2392-02-04T15:00:00.000+00:00
12,Check__application__form_completeness,2392-02-04T15:00:00.000+00:00
12,Return_application_back_to_applicant,2392-02-04T15:20:05.143+00:00
12,Receive_updated_application,2392-02-04T16:01:21.881+00:00
12,Check__application__form_completeness,2392-02-04T16:05:56.007+00:00
12,Appraise_property,2392-02-04T16:12:49.083+00:00
12,Check_credit_history,2392-02-04T16:12:49.083+00:00
12,Assess_loan_risk,2392-02-05T09:27:01.752+00:00
12,Assess_eligibility,2392-02-05T10:10:52.930+00:00
12,Reject_application,2392-02-05T10:38:20.400+00:00
12,Loan_application_rejected,2392-02-05T10:53:40.739+00:00
13,Loan__application_received,2866-02-15T10:30:00.000+00:00
13,Check__application__form_completeness,2866-02-15T10:30:00.000+00:00
13,Appraise_property,2866-02-15T10:44:19.769+00:00
13,Check_credit_history,2866-02-15T10:44:19.769+00:00
13,Assess_loan_risk,2866-02-15T10:56:53.728+00:00
13,Assess_eligibility,2866-02-15T12:42:18.246+00:00
13,Prepare_acceptance_pack,2866-02-15T12:48:18.673+00:00
13,Check_if_home_insurance_quote_is_requested,2866-02-15T12:50:12.525+00:00
13,Send_acceptance_pack,2866-02-15T13:49:02.064+00:00
13,Verify_repayment_agreement,2866-02-15T13:58:25.955+00:00
13,Cancel_application,2866-02-15T14:06:35.086+00:00
13,Loan__application_canceled,2866-02-15T14:14:04.842+00:00
14,Loan__application_received,2567-02-07T10:00:00.000+00:00
14,Check__application__form_completeness,2567-02-07T10:00:00.000+00:00
14,Appraise_property,2567-02-07T10:56:47.960+00:00
14,Check_credit_history,2567-02-07T10:56:47.960+00:00
14,Assess_loan_risk,2567-02-07T11:17:26.239+00:00
14,Assess_eligibility,2567-02-07T11:17:28.622+00:00
14,Prepare_acceptance_pack,2567-02-07T11:30:30.242+00:00
14,Check_if_home_insurance_quote_is_requested,2567-02-07T12:43:28.399+00:00
14,Send_home_insurance_quote,2567-02-07T13:28:36.142+00:00
14,Verify_repayment_agreement,2567-02-07T13:39:15.757+00:00
14,Approve_application,2567-02-07T14:02:15.830+00:00
14,Loan__application_approved,2567-02-07T14:37:33.399+00:00
15,Loan__application_received,2617-02-11T10:00:00.000+00:00
15,Check__application__form_completeness,2617-02-11T10:00:00.000+00:00
15,Appraise_property,2617-02-11T10:47:52.801+00:00
15,Check_credit_history,2617-02-11T10:47:52.801+00:00
15,Assess_loan_risk,2617-02-11T10:53:03.477+00:00
15,Assess_eligibility,2617-02-11T11:07:53.377+00:00
15,Reject_application,2617-02-11T11:19:09.215+00:00
15,Loan_application_rejected,2617-02-11T12:40:27.947+00:00
16,Loan__application_received,2939-02-07T14:30:00.000+00:00
16,Check__application__form_completeness,2939-02-07T14:30:00.000+00:00
16,Appraise_property,2939-02-07T15:15:49.523+00:00
16,Check_credit_history,2939-02-07T15:15:49.523+00:00
16,Assess_loan_risk,2939-02-07T15:16:42.548+00:00
16,Assess_eligibility,2939-02-07T16:50:50.158+00:00
16,Reject_application,2939-02-07T16:57:49.135+00:00
16,Loan_application_rejected,2939-02-07T16:58:15.667+00:00
17,Loan__application_received,2637-02-12T15:00:00.000+00:00
17,Check__application__form_completeness,2637-02-12T15:00:00.000+00:00
17,Return_application_back_to_applicant,2637-02-12T15:55:18.592+00:00
17,Receive_updated_application,2637-02-12T16:20:14.864+00:00
17,Check__application__form_completeness,2637-02-12T16:24:25.003+00:00
17,Appraise_property,2637-02-13T09:24:45.141+00:00
17,Check_credit_history,2637-02-13T09:24:45.141+00:00
17,Assess_loan_risk,2637-02-13T10:30:46.031+00:00
17,Assess_eligibility,2637-02-13T11:00:34.306+00:00
17,Reject_application,2637-02-13T11:02:49.767+00:00
17,Loan_application_rejected,2637-02-13T11:03:50.495+00:00
18,Loan__application_received,2083-02-12T10:30:00.000+00:00
18,Check__application__form_completeness,2083-02-12T10:30:00.000+00:00
