case,event,timestamp
1,Loan__application_received,2833-02-18T16:00:00.000+00:00
1,Check__application__form_completeness,2833-02-18T16:00:00.000+00:00
1,Appraise_property,2833-02-18T16:04:32.266+00:00
1,Check_credit_history,2833-02-18T16:04:32.266+00:00
1,Assess_loan_risk,2833-02-18T16:47:50.131+00:00
1,Assess_eligibility,2833-02-18T16:53:26.944+00:00
1,Prepare_acceptance_pack,2833-02-19T09:15:15.029+00:00
1,Check_if_home_insurance_quote_is_requested,2833-02-19T09:36:13.032+00:00
1,Send_acceptance_pack,2833-02-19T09:59:46.479+00:00
1,Verify_repayment_agreement,2833-02-19T10:06:04.684+00:00
1,Approve_application,2833-02-19T11:28:29.155+00:00
1,Loan__application_approved,2833-02-19T11:33:34.859+00:00
2,Loan__application_received,2141-02-20T11:30:00.000+00:00
2,Check__application__form_completeness,2141-02-20T11:30:00.000+00:00
2,Appraise_property,2141-02-20T12:03:57.032+00:00
2,Check_credit_history,2141-02-20T12:03:57.032+00:00
2,Assess_loan_risk,2141-02-20T12:46:38.449+00:00
2,Assess_eligibility,2141-02-20T13:17:55.102+00:00
2,Reject_application,2141-02-20T13:32:27.429+00:00
2,Loan_application_rejected,2141-02-20T13:48:11.987+00:00
3,Loan__application_received,2313-02-05T09:30:00.000+00:00
3,Check__application__form_completeness,2313-02-05T09:30:00.000+00:00
3,Appraise_property,2313-02-05T09:44:33.789+00:00
3,Check_credit_history,2313-02-05T09:44:33.789+00:00
3,Assess_loan_risk,2313-02-05T09:58:44.539+00:00
3,Assess_eligibility,2313-02-05T10:17:18.091+00:00
3,Prepare_acceptance_pack,2313-02-05T10:44:31.252+00:00
3,Check_if_home_insurance_quote_is_requested,2313-02-05T11:09:16.454+00:00
3,Send_acceptance_pack,2313-02-05T11:40:31.512+00:00
3,Verify_repayment_agreement,2313-02-05T12:09:40.499+00:00
3,Cancel_application,2313-02-05T12:52:44.745+00:00
3,Loan__application_canceled,2313-02-05T13:15:43.608+00:00
4,Loan__application_received,2029-02-14T14:30:00.000+00:00
4,Check__application__form_completeness,2029-02-14T14:30:00.000+00:00
4,Appraise_property,2029-02-14T14:44:59.040+00:00
4,Check_credit_history,2029-02-14T14:44:59.040+00:00
4,Assess_loan_risk,2029-02-14T16:09:47.422+00:00
4,Assess_eligibility,2029-02-14T16:21:50.630+00:00
4,Reject_application,2029-02-14T16:43:11.769+00:00
4,Loan_application_rejected,2029-02-14T16:50:44.438+00:00
5,Loan__application_received,2044-02-11T14:00:00.000+00:00
5,Check__application__form_completeness,2044-02-11T14:00:00.000+00:00
5,Appraise_property,2044-02-11T14:08:37.019+00:00
5,Check_credit_history,2044-02-11T14:08:37.019+00:00
5,Assess_loan_risk,2044-02-11T14:26:54.121+00:00
5,Assess_eligibility,2044-02-11T14:39:35.515+00:00
5,Reject_application,2044-02-11T14:46:06.144+00:00
5,Loan_application_rejected,2044-02-11T16:03:06.817+00:00
6,Loan__application_received,2133-02-11T09:30:00.000+00:00
6,Check__application__form_completeness,2133-02-11T09:30:00.000+00:00
6,Appraise_property,2133-02-11T10:07:21.328+00:00
6,Check_credit_history,2133-02-11T10:07:21.328+00:00
6,Assess_loan_risk,2133-02-11T10:15:07.907+00:00
6,Assess_eligibility,2133-02-11T10:19:56.182+00:00
6,Prepare_acceptance_pack,2133-02-11T11:09:38.785+00:00
6,Check_if_home_insurance_quote_is_requested,2133-02-11T12:03:34.202+00:00
6,Send_home_insurance_quote,2133-02-11T12:41:51.664+00:00
6,Verify_repayment_agreement,2133-02-11T13:03:57.947+00:00
6,Approve_application,2133-02-11T14:19:11.494+00:00
6,Loan__application_approved,2133-02-11T16:18:38.363+00:00
7,Loan__application_received,2685-02-20T14:00:00.000+00:00
7,Check__application__form_completeness,2685-02-20T14:00:00.000+00:00
7,Appraise_property,2685-02-20T14:28:02.172+00:00
7,Check_credit_history,2685-02-20T14:28:02.172+00:00
7,Assess_loan_risk,2685-02-20T14:52:05.623+00:00
7,Assess_eligibility,2685-02-20T16:33:54.739+00:00
7,Prepare_acceptance_pack,2685-02-21T09:15:37.638+00:00
7,Check_if_home_insurance_quote_is_requested,2685-02-21T10:22:50.552+00:00
7,Send_acceptance_pack,2685-02-21T11:31:19.821+00:00
7,Verify_repayment_agreement,2685-02-21T11:34:14.898+00:00
7,Cancel_application,2685-02-21T11:40:08.070+00:00
7,Loan__application_canceled,2685-02-21T12:32:44.709+00:00
8,Loan__application_received,2532-02-06T13:30:00.000+00:00
8,Check__application__form_completeness,2532-02-06T13:30:00.000+00:00
8,Appraise_property,2532-02-06T13:59:54.621+00:00
8,Check_credit_history,2532-02-06T13:59:54.621+00:00
8,Assess_loan_risk,2532-02-06T14:19:32.556+00:00
8,Assess_eligibility,2532-02-06T15:21:58.491+00:00
8,Prepare_acceptance_pack,2532-02-06T15:37:53.851+00:00
8,Check_if_home_insurance_quote_is_requested,2532-02-06T15:38:59.494+00:00
8,Send_home_insurance_quote,2532-02-06T16:08:06.365+00:00
8,Verify_repayment_agreement,2532-02-06T16:53:46.843+00:00
8,Cancel_application,2532-02-07T09:06:25.746+00:00
8,Loan__application_canceled,2532-02-07T09:44:24.418+00:00
9,Loan__application_received,2318-02-07T16:30:00.000+00:00
9,Check__application__form_completeness,2318-02-07T16:30:00.000+00:00
9,Appraise_property,2318-02-08T09:24:10.231+00:00
9,Check_credit_history,2318-02-08T09:24:10.231+00:00
9,Assess_loan_risk,2318-02-08T09:57:47.434+00:00
9,Assess_eligibility,2318-02-08T09:59:46.749+00:00
9,Reject_application,2318-02-08T10:44:16.947+00:00
9,Loan_application_rejected,2318-02-08T11:42:52.285+00:00
10,Loan__application_received,2220-02-11T10:30:00.000+00:00
10,Check__application__form_completeness,2220-02-11T10:30:00.000+00:00
10,Appraise_property,2220-02-11T11:33:26.384+00:00
10,Check_credit_history,2220-02-11T11:33:26.384+00:00
10,Assess_loan_risk,2220-02-11T12:06:21.850+00:00
10,Assess_eligibility,2220-02-11T12:45:47.513+00:00
10,Reject_application,2220-02-11T13:23:34.757+00:00
10,Loan_application_rejected,2220-02-11T14:53:45.919+00:00
11,Loan__application_received,2007-02-11T11:00:00.000+00:00
11,Check__application__form_completeness,2007-02-11T11:00:00.000+00:00
11,Appraise_property,2007-02-11T11:04:57.975+00:00
11,Check_credit_history,2007-02-11T11:04:57.975+00:00
11,Assess_loan_risk,2007-02-11T11:29:40.156+00:00
11,Assess_eligibility,2007-02-11T12:08:23.311+00:00
11,Reject_application,2007-02-11T12:29:48.075+00:00
11,Loan_application_rejected,2007-02-11T13:19:31.760+00:00
12,Loan__application_received,2910-02-05T15:00:00.000+00:00
12,Check__application__form_completeness,2910-02-05T15:00:00.000+00:00
12,Appraise_property,2910-02-05T15:12:48.653+00:00
12,Check_credit_history,2910-02-05T15:12:48.653+00:00
12,Assess_loan_risk,2910-02-05T15:47:00.515+00:00
12,Assess_eligibility,2910-02-05T16:08:14.438+00:00
12,Prepare_acceptance_pack,2910-02-05T16:27:48.289+00:00
12,Check_if_home_insurance_quote_is_requested,2910-02-05T16:43:35.951+00:00
12,Send_home_insurance_quote,2910-02-05T16:54:49.723+00:00
12,Verify_repayment_agreement,2910-02-06T09:11:17.557+00:00
12,Approve_application,2910-02-06T09:19:19.343+00:00
12,Loan__application_approved,2910-02-06T09:28:01.327+00:00
13,Loan__application_received,2490-02-19T16:30:00.000+00:00
13,Check__application__form_completeness,2490-02-19T16:30:00.000+00:00
13,Return_application_back_to_applicant,2490-02-20T09:00:39.669+00:00
13,Receive_updated_application,2490-02-20T09:07:54.105+00:00
13,Check__application__form_completeness,2490-02-20T09:36:45.669+00:00
13,Appraise_property,2490-02-20T09:37:35.775+00:00
13,Check_credit_history,2490-02-20T09:37:35.775+00:00
13,Assess_loan_risk,2490-02-20T10:28:17.869+00:00
13,Assess_eligibility,2490-02-20T11:31:48.086+00:00
13,Reject_application,2490-02-20T12:06:24.893+00:00
13,Loan_application_rejected,2490-02-20T13:13:23.411+00:00
14,Loan__application_received,2783-02-05T14:30:00.000+00:00
14,Check__application__form_completeness,2783-02-05T14:30:00.000+00:00
14,Appraise_property,2783-02-05T14:45:08.503+00:00
14,Check_credit_history,2783-02-05T14:45:08.503+00:00
14,Assess_loan_risk,2783-02-05T15:23:51.370+00:00
14,Assess_eligibility,2783-02-05T16:11:23.913+00:00
14,Reject_application,2783-02-05T16:59:09.830+00:00
14,Loan_application_rejected,2783-02-06T09:48:17.488+00:00
15,Loan__application_received,2285-02-08T11:00:00.000+00:00
15,Check__application__form_completeness,2285-02-08T11:00:00.000+00:00
15,Appraise_property,2285-02-08T11:06:58.791+00:00
15,Check_credit_history,2285-02-08T11:06:58.791+00:00
15,Assess_loan_risk,2285-02-08T11:11:57.503+00:00
15,Assess_eligibility,2285-02-08T12:17:46.249+00:00
15,Reject_application,2285-02-08T12:37:50.692+00:00
15,Loan_application_rejected,2285-02-08T12:50:37.590+00:00
16,Loan__application_received,2447-02-18T11:00:00.000+00:00
16,Check__application__form_completeness,2447-02-18T11:00:00.000+00:00
16,Appraise_property,2447-02-18T11:28:52.206+00:00
16,Check_credit_history,2447-02-18T11:28:52.206+00:00
16,Assess_loan_risk,2447-02-18T11:42:40.668+00:00
16,Assess_eligibility,2447-02-18T12:11:24.756+00:00
16,Prepare_acceptance_pack,2447-02-18T12:20:23.757+00:00
16,Check_if_home_insurance_quote_is_requested,2447-02-18T12:22:47.612+00:00
16,Send_acceptance_pack,2447-02-18T13:41:39.410+00:00
16,Verify_repayment_agreement,2447-02-18T13:47:47.525+00:00
16,Cancel_application,2447-02-18T14:26:19.982+00:00
16,Loan__application_canceled,2447-02-18T15:36:19.760+00:00
17,Loan__application_received,2212-02-11T12:30:00.000+00:00
17,Check__application__form_completeness,2212-02-11T12:30:00.000+00:00
17,Appraise_property,2212-02-11T12:39:47.543+00:00
17,Check_credit_history,2212-02-11T12:39:47.543+00:00
17,Assess_loan_risk,2212-02-11T12:41:39.777+00:00
17,Assess_eligibility,2212-02-11T13:14:44.968+00:00
17,Reject_application,2212-02-11T14:00:15.066+00:00
17,Loan_application_rejected,2212-02-11T14:10:28.889+00:00
18,Loan__application_received,2930-02-19T12:30:00.000+00:00
