case,event,timestamp
1,Loan__application_received,2534-02-20T15:00:00.000+00:00
1,Check__application__form_completeness,2534-02-20T15:00:00.000+00:00
1,Appraise_property,2534-02-20T15:24:29.041+00:00
1,Check_credit_history,2534-02-20T15:24:29.041+00:00
1,Assess_loan_risk,2534-02-20T16:08:18.687+00:00
1,Assess_eligibility,2534-02-20T16:17:55.059+00:00
1,Prepare_acceptance_pack,2534-02-21T09:15:53.939+00:00
1,Check_if_home_insurance_quote_is_requested,2534-02-21T09:48:28.287+00:00
1,Send_acceptance_pack,2534-02-21T11:26:00.944+00:00
1,Verify_repayment_agreement,2534-02-21T12:33:42.910+00:00
1,Cancel_application,2534-02-21T13:36:48.647+00:00
1,Loan__application_canceled,2534-02-21T14:08:11.921+00:00
2,Loan__application_received,2258-02-21T17:00:00.000+00:00
2,Check__application__form_completeness,2258-02-21T17:00:00.000+00:00
2,Appraise_property,2258-02-22T09:39:35.152+00:00
2,Check_credit_history,2258-02-22T09:39:35.152+00:00
2,Assess_loan_risk,2258-02-22T10:08:06.316+00:00
2,Assess_eligibility,2258-02-22T11:28:30.446+00:00
2,Prepare_acceptance_pack,2258-02-22T11:48:09.693+00:00
2,Check_if_home_insurance_quote_is_requested,2258-02-22T13:10:59.465+00:00
2,Send_acceptance_pack,2258-02-22T14:04:50.751+00:00
2,Verify_repayment_agreement,2258-02-22T14:19:18.518+00:00
2,Cancel_application,2258-02-22T15:21:47.770+00:00
2,Loan__application_canceled,2258-02-22T15:28:26.749+00:00
3,Loan__application_received,2089-02-21T11:30:00.000+00:00
3,Check__application__form_completeness,2089-02-21T11:30:00.000+00:00
3,Return_application_back_to_applicant,2089-02-21T11:38:09.153+00:00
3,Receive_updated_application,2089-02-21T11:45:50.873+00:00
3,Check__application__form_completeness,2089-02-21T11:49:07.123+00:00
3,Appraise_property,2089-02-21T12:36:49.762+00:00
3,Check_credit_history,2089-02-21T12:36:49.762+00:00
3,Assess_loan_risk,2089-02-21T13:13:06.207+00:00
3,Assess_eligibility,2089-02-21T14:07:34.460+00:00
3,Reject_application,2089-02-21T14:56:56.648+00:00
3,Loan_application_rejected,2089-02-21T15:20:45.968+00:00
4,Loan__application_received,2649-02-22T13:00:00.000+00:00
4,Check__application__form_completeness,2649-02-22T13:00:00.000+00:00
4,Appraise_property,2649-02-22T13:37:54.042+00:00
4,Check_credit_history,2649-02-22T13:37:54.042+00:00
4,Assess_loan_risk,2649-02-22T13:50:32.569+00:00
4,Assess_eligibility,2649-02-22T13:59:13.025+00:00
4,Reject_application,2649-02-22T14:17:34.886+00:00
4,Loan_application_rejected,2649-02-22T15:24:01.979+00:00
5,Loan__application_received,2789-02-20T16:30:00.000+00:00
5,Check__application__form_completeness,2789-02-20T16:30:00.000+00:00
5,Appraise_property,2789-02-20T16:56:51.651+00:00
5,Check_credit_history,2789-02-20T16:56:51.651+00:00
5,Assess_loan_risk,2789-02-21T09:05:12.729+00:00
5,Assess_eligibility,2789-02-21T09:34:36.114+00:00
5,Reject_application,2789-02-21T09:49:36.210+00:00
5,Loan_application_rejected,2789-02-21T09:57:01.342+00:00
6,Loan__application_received,2574-02-08T15:30:00.000+00:00
6,Check__application__form_completeness,2574-02-08T15:30:00.000+00:00
6,Appraise_property,2574-02-08T15:30:55.407+00:00
6,Check_credit_history,2574-02-08T15:30:55.407+00:00
6,Assess_loan_risk,2574-02-08T16:29:21.356+00:00
6,Assess_eligibility,2574-02-11T10:14:06.497+00:00
6,Reject_application,2574-02-11T10:38:50.431+00:00
6,Loan_application_rejected,2574-02-11T11:57:56.652+00:00
7,Loan__application_received,2731-02-05T14:00:00.000+00:00
7,Check__application__form_completeness,2731-02-05T14:00:00.000+00:00
7,Appraise_property,2731-02-05T14:22:13.508+00:00
7,Check_credit_history,2731-02-05T14:22:13.508+00:00
7,Assess_loan_risk,2731-02-05T14:22:15.900+00:00
7,Assess_eligibility,2731-02-05T14:40:09.076+00:00
7,Prepare_acceptance_pack,2731-02-05T14:40:30.394+00:00
7,Check_if_home_insurance_quote_is_requested,2731-02-06T09:50:10.072+00:00
7,Send_home_insurance_quote,2731-02-06T10:02:55.742+00:00
7,Verify_repayment_agreement,2731-02-06T10:09:48.927+00:00
7,Cancel_application,2731-02-06T10:27:04.710+00:00
7,Loan__application_canceled,2731-02-06T10:56:17.816+00:00
8,Loan__application_received,2935-02-20T10:30:00.000+00:00
8,Check__application__form_completeness,2935-02-20T10:30:00.000+00:00
8,Appraise_property,2935-02-20T10:47:59.293+00:00
