case,event,timestamp
1,Loan__application_received,2379-02-15T15:30:00.000+00:00
1,Check__application__form_completeness,2379-02-15T15:30:00.000+00:00
1,Appraise_property,2379-02-15T15:47:44.135+00:00
1,Check_credit_history,2379-02-15T15:47:44.135+00:00
1,Assess_loan_risk,2379-02-15T15:53:53.532+00:00
1,Assess_eligibility,2379-02-15T16:00:23.889+00:00
1,Reject_application,2379-02-15T16:50:46.357+00:00
1,Loan_application_rejected,2379-02-18T09:48:39.564+00:00
2,Loan__application_received,2034-02-08T09:30:00.000+00:00
2,Check__application__form_completeness,2034-02-08T09:30:00.000+00:00
2,Appraise_property,2034-02-08T09:38:22.102+00:00
2,Check_credit_history,2034-02-08T09:38:22.102+00:00
2,Assess_loan_risk,2034-02-08T09:42:20.569+00:00
2,Assess_eligibility,2034-02-08T10:59:43.579+00:00
2,Prepare_acceptance_pack,2034-02-08T11:54:10.168+00:00
2,Check_if_home_insurance_quote_is_requested,2034-02-08T13:11:41.983+00:00
2,Send_home_insurance_quote,2034-02-08T13:24:48.369+00:00
2,Verify_repayment_agreement,2034-02-08T16:21:23.479+00:00
2,Cancel_application,2034-02-11T09:33:54.641+00:00
2,Loan__application_canceled,2034-02-11T09:42:57.302+00:00
3,Loan__application_received,2135-02-14T15:30:00.000+00:00
3,Check__application__form_completeness,2135-02-14T15:30:00.000+00:00
3,Appraise_property,2135-02-14T15:46:17.574+00:00
3,Check_credit_history,2135-02-14T15:46:17.574+00:00
3,Assess_loan_risk,2135-02-14T15:52:34.792+00:00
3,Assess_eligibility,2135-02-14T16:56:13.112+00:00
3,Prepare_acceptance_pack,2135-02-15T09:16:39.460+00:00
3,Check_if_home_insurance_quote_is_requested,2135-02-15T09:31:36.007+00:00
3,Send_home_insurance_quote,2135-02-15T09:34:58.170+00:00
3,Verify_repayment_agreement,2135-02-15T09:38:24.419+00:00
3,Cancel_application,2135-02-15T09:55:00.856+00:00
3,Loan__application_canceled,2135-02-15T09:56:32.512+00:00
4,Loan__application_received,2424-02-05T13:00:00.000+00:00
4,Check__application__form_completeness,2424-02-05T13:00:00.000+00:00
4,Return_application_back_to_applicant,2424-02-05T13:13:42.122+00:00
4,Receive_updated_application,2424-02-05T14:24:49.261+00:00
4,Check__application__form_completeness,2424-02-05T15:00:36.588+00:00
4,Appraise_property,2424-02-05T15:16:52.183+00:00
4,Check_credit_history,2424-02-05T15:16:52.183+00:00
4,Assess_loan_risk,2424-02-05T15:30:44.974+00:00
4,Assess_eligibility,2424-02-05T16:07:05.336+00:00
4,Prepare_acceptance_pack,2424-02-05T16:08:24.507+00:00
4,Check_if_home_insurance_quote_is_requested,2424-02-05T16:27:35.756+00:00
4,Send_acceptance_pack,2424-02-05T16:33:04.044+00:00
4,Verify_repayment_agreement,2424-02-06T09:33:19.406+00:00
4,Approve_application,2424-02-06T09:45:39.555+00:00
4,Loan__application_approved,2424-02-06T10:29:30.448+00:00
5,Loan__application_received,2682-02-19T16:30:00.000+00:00
5,Check__application__form_completeness,2682-02-19T16:30:00.000+00:00
5,Appraise_property,2682-02-19T16:45:06.863+00:00
5,Check_credit_history,2682-02-19T16:45:06.863+00:00
5,Assess_loan_risk,2682-02-20T09:06:59.881+00:00
5,Assess_eligibility,2682-02-20T09:14:21.257+00:00
5,Reject_application,2682-02-20T10:06:31.544+00:00
5,Loan_application_rejected,2682-02-20T10:36:59.485+00:00
6,Loan__application_received,2542-02-12T10:00:00.000+00:00
6,Check__application__form_completeness,2542-02-12T10:00:00.000+00:00
6,Appraise_property,2542-02-12T11:00:28.833+00:00
6,Check_credit_history,2542-02-12T11:00:28.833+00:00
6,Assess_loan_risk,2542-02-12T11:09:55.518+00:00
6,Assess_eligibility,2542-02-12T11:32:54.715+00:00
6,Reject_application,2542-02-12T11:36:23.068+00:00
6,Loan_application_rejected,2542-02-12T12:46:26.753+00:00
7,Loan__application_received,2920-02-04T09:30:00.000+00:00
7,Check__application__form_completeness,2920-02-04T09:30:00.000+00:00
7,Appraise_property,2920-02-04T09:48:37.587+00:00
7,Check_credit_history,2920-02-04T09:48:37.587+00:00
7,Assess_loan_risk,2920-02-04T10:20:45.066+00:00
7,Assess_eligibility,2920-02-04T11:16:57.213+00:00
7,Prepare_acceptance_pack,2920-02-04T11:29:30.645+00:00
7,Check_if_home_insurance_quote_is_requested,2920-02-04T11:51:34.331+00:00
7,Send_acceptance_pack,2920-02-04T11:55:27.179+00:00
7,Verify_repayment_agreement,2920-02-04T13:36:53.736+00:00
7,Cancel_application,2920-02-04T13:50:31.635+00:00
7,Loan__application_canceled,2920-02-04T14:01:32.420+00:00
8,Loan__application_received,2310-02-07T14:00:00.000+00:00
8,Check__application__form_completeness,2310-02-07T14:00:00.000+00:00
8,Appraise_property,2310-02-07T14:15:04.345+00:00
