case,event,timestamp
1,Loan__application_received,2005-02-08T11:00:00.000+00:00
1,Check__application__form_completeness,2005-02-08T11:00:00.000+00:00
1,Return_application_back_to_applicant,2005-02-08T11:06:12.688+00:00
1,Receive_updated_application,2005-02-08T11:06:32.796+00:00
1,Check__application__form_completeness,2005-02-08T12:35:29.101+00:00
1,Appraise_property,2005-02-08T13:01:34.748+00:00
1,Check_credit_history,2005-02-08T13:01:34.748+00:00
1,Assess_loan_risk,2005-02-08T13:26:48.887+00:00
1,Assess_eligibility,2005-02-08T14:05:45.335+00:00
1,Prepare_acceptance_pack,2005-02-08T14:34:10.476+00:00
1,Check_if_home_insurance_quote_is_requested,2005-02-08T14:40:33.663+00:00
1,Send_acceptance_pack,2005-02-08T14:41:14.648+00:00
1,Verify_repayment_agreement,2005-02-08T15:02:29.561+00:00
1,Approve_application,2005-02-08T15:51:27.465+00:00
1,Loan__application_approved,2005-02-08T16:00:46.076+00:00
2,Loan__application_received,2006-03-15T13:30:00.000+00:00
2,Check__application__form_completeness,2006-03-15T13:30:00.000+00:00
2,Appraise_property,2006-03-15T14:25:23.195+00:00
2,Check_credit_history,2006-03-15T14:25:23.195+00:00
2,Assess_loan_risk,2006-03-15T14:27:31.529+00:00
2,Assess_eligibility,2006-03-15T14:33:29.233+00:00
2,Prepare_acceptance_pack,2006-03-15T15:02:56.747+00:00
2,Check_if_home_insurance_quote_is_requested,2006-03-15T15:55:19.625+00:00
2,Send_acceptance_pack,2006-03-16T10:55:40.983+00:00
2,Verify_repayment_agreement,2006-03-16T11:21:01.854+00:00
2,Cancel_application,2006-03-16T11:31:13.667+00:00
2,Loan__application_canceled,2006-03-16T12:30:02.787+00:00
3,Loan__application_received,2006-02-28T11:00:00.000+00:00
3,Check__application__form_completeness,2006-02-28T11:00:00.000+00:00
3,Appraise_property,2006-02-28T12:45:51.644+00:00
3,Check_credit_history,2006-02-28T12:45:51.644+00:00
3,Assess_loan_risk,2006-02-28T13:02:23.614+00:00
3,Assess_eligibility,2006-02-28T13:08:01.229+00:00
3,Reject_application,2006-02-28T13:09:39.258+00:00
3,Loan_application_rejected,2006-02-28T13:28:59.012+00:00
4,Loan__application_received,2004-08-16T17:00:00.000+00:00
4,Check__application__form_completeness,2004-08-16T17:00:00.000+00:00
4,Appraise_property,2004-08-17T11:01:05.992+00:00
