case,event,timestamp
1,Loan__application_received,2556-02-08T17:00:00.000+00:00
1,Check__application__form_completeness,2556-02-08T17:00:00.000+00:00
1,Appraise_property,2556-02-11T09:07:43.298+00:00
1,Check_credit_history,2556-02-11T09:07:43.298+00:00
1,Assess_loan_risk,2556-02-11T09:10:36.105+00:00
1,Assess_eligibility,2556-02-11T09:19:50.954+00:00
1,Prepare_acceptance_pack,2556-02-11T09:29:15.783+00:00
1,Check_if_home_insurance_quote_is_requested,2556-02-11T09:36:40.849+00:00
1,Send_home_insurance_quote,2556-02-11T09:41:14.099+00:00
1,Verify_repayment_agreement,2556-02-11T10:14:42.661+00:00
1,Cancel_application,2556-02-11T10:42:25.382+00:00
1,Loan__application_canceled,2556-02-11T11:03:14.553+00:00
2,Loan__application_received,2075-02-25T09:30:00.000+00:00
2,Check__application__form_completeness,2075-02-25T09:30:00.000+00:00
2,Appraise_property,2075-02-25T09:48:18.236+00:00
2,Check_credit_history,2075-02-25T09:48:18.236+00:00
2,Assess_loan_risk,2075-02-25T10:41:44.164+00:00
2,Assess_eligibility,2075-02-25T11:20:43.430+00:00
2,Reject_application,2075-02-25T13:51:04.519+00:00
2,Loan_application_rejected,2075-02-25T15:22:23.082+00:00
3,Loan__application_received,2799-02-20T11:00:00.000+00:00
3,Check__application__form_completeness,2799-02-20T11:00:00.000+00:00
3,Appraise_property,2799-02-20T11:22:30.346+00:00
3,Check_credit_history,2799-02-20T11:22:30.346+00:00
3,Assess_loan_risk,2799-02-20T11:52:20.856+00:00
3,Assess_eligibility,2799-02-20T12:24:07.444+00:00
3,Prepare_acceptance_pack,2799-02-20T12:38:45.200+00:00
3,Check_if_home_insurance_quote_is_requested,2799-02-20T14:20:29.562+00:00
3,Send_acceptance_pack,2799-02-20T14:38:02.911+00:00
3,Verify_repayment_agreement,2799-02-20T14:46:37.062+00:00
3,Cancel_application,2799-02-20T14:54:32.345+00:00
3,Loan__application_canceled,2799-02-20T15:57:07.961+00:00
4,Loan__application_received,2096-02-04T12:00:00.000+00:00
4,Check__application__form_completeness,2096-02-04T12:00:00.000+00:00
4,Appraise_property,2096-02-04T12:09:14.654+00:00
4,Check_credit_history,2096-02-04T12:09:14.654+00:00
4,Assess_loan_risk,2096-02-04T12:18:06.484+00:00
4,Assess_eligibility,2096-02-04T12:40:02.876+00:00
4,Prepare_acceptance_pack,2096-02-04T13:02:00.080+00:00
4,Check_if_home_insurance_quote_is_requested,2096-02-04T13:18:27.180+00:00
4,Send_acceptance_pack,2096-02-04T13:57:24.617+00:00
4,Verify_repayment_agreement,2096-02-04T15:05:50.307+00:00
4,Cancel_application,2096-02-04T15:47:33.009+00:00
4,Loan__application_canceled,2096-02-04T16:01:57.342+00:00
5,Loan__application_received,2930-02-18T15:30:00.000+00:00
5,Check__application__form_completeness,2930-02-18T15:30:00.000+00:00
5,Appraise_property,2930-02-18T16:14:00.371+00:00
5,Check_credit_history,2930-02-18T16:14:00.371+00:00
5,Assess_loan_risk,2930-02-18T16:27:51.339+00:00
5,Assess_eligibility,2930-02-18T16:51:02.297+00:00
5,Reject_application,2930-02-19T09:15:29.741+00:00
5,Loan_application_rejected,2930-02-19T10:10:28.301+00:00
6,Loan__application_received,2810-02-13T14:00:00.000+00:00
6,Check__application__form_completeness,2810-02-13T14:00:00.000+00:00
6,Appraise_property,2810-02-13T14:04:59.772+00:00
6,Check_credit_history,2810-02-13T14:04:59.772+00:00
6,Assess_loan_risk,2810-02-13T14:27:56.544+00:00
6,Assess_eligibility,2810-02-13T14:30:53.450+00:00
6,Reject_application,2810-02-13T15:45:00.773+00:00
6,Loan_application_rejected,2810-02-13T15:54:41.056+00:00
7,Loan__application_received,2349-02-21T13:30:00.000+00:00
7,Check__application__form_completeness,2349-02-21T13:30:00.000+00:00
7,Return_application_back_to_applicant,2349-02-21T13:46:57.094+00:00
7,Receive_updated_application,2349-02-21T14:18:57.410+00:00
7,Check__application__form_completeness,2349-02-21T15:20:42.169+00:00
7,Appraise_property,2349-02-21T15:28:08.941+00:00
7,Check_credit_history,2349-02-21T15:28:08.941+00:00
7,Assess_loan_risk,2349-02-21T15:37:46.734+00:00
7,Assess_eligibility,2349-02-21T16:37:29.961+00:00
7,Prepare_acceptance_pack,2349-02-21T16:56:36.363+00:00
7,Check_if_home_insurance_quote_is_requested,2349-02-22T10:20:37.416+00:00
7,Send_home_insurance_quote,2349-02-22T10:21:48.532+00:00
7,Verify_repayment_agreement,2349-02-22T10:26:02.576+00:00
7,Approve_application,2349-02-22T11:34:51.511+00:00
7,Loan__application_approved,2349-02-22T12:22:38.850+00:00
8,Loan__application_received,2169-02-04T17:00:00.000+00:00
8,Check__application__form_completeness,2169-02-04T17:00:00.000+00:00
8,Appraise_property,2169-02-05T09:14:46.696+00:00
8,Check_credit_history,2169-02-05T09:14:46.696+00:00
8,Assess_loan_risk,2169-02-05T09:27:42.775+00:00
8,Assess_eligibility,2169-02-05T11:12:42.449+00:00
8,Prepare_acceptance_pack,2169-02-05T11:31:14.049+00:00
8,Check_if_home_insurance_quote_is_requested,2169-02-05T11:54:15.120+00:00
8,Send_home_insurance_quote,2169-02-05T12:38:04.189+00:00
8,Verify_repayment_agreement,2169-02-05T13:13:42.623+00:00
8,Approve_application,2169-02-05T13:15:12.741+00:00
8,Loan__application_approved,2169-02-05T13:19:00.707+00:00
9,Loan__application_received,2410-02-05T10:30:00.000+00:00
9,Check__application__form_completeness,2410-02-05T10:30:00.000+00:00
9,Appraise_property,2410-02-05T10:54:30.679+00:00
9,Check_credit_history,2410-02-05T10:54:30.679+00:00
9,Assess_loan_risk,2410-02-05T11:04:37.453+00:00
9,Assess_eligibility,2410-02-05T11:07:34.162+00:00
9,Reject_application,2410-02-05T11:20:13.981+00:00
9,Loan_application_rejected,2410-02-05T11:47:43.662+00:00
10,Loan__application_received,2154-02-19T15:00:00.000+00:00
10,Check__application__form_completeness,2154-02-19T15:00:00.000+00:00
10,Appraise_property,2154-02-19T15:35:43.482+00:00
10,Check_credit_history,2154-02-19T15:35:43.482+00:00
10,Assess_loan_risk,2154-02-19T16:21:55.209+00:00
10,Assess_eligibility,2154-02-19T16:42:15.207+00:00
10,Prepare_acceptance_pack,2154-02-20T09:02:14.829+00:00
10,Check_if_home_insurance_quote_is_requested,2154-02-20T09:29:05.990+00:00
