case,event,timestamp
1,Loan__application_received,2334-02-05T15:00:00.000+00:00
1,Check__application__form_completeness,2334-02-05T15:00:00.000+00:00
1,Appraise_property,2334-02-05T15:07:48.256+00:00
1,Check_credit_history,2334-02-05T15:07:48.256+00:00
1,Assess_loan_risk,2334-02-05T15:43:51.990+00:00
1,Assess_eligibility,2334-02-05T15:58:16.221+00:00
1,Reject_application,2334-02-05T16:26:18.738+00:00
1,Loan_application_rejected,2334-02-05T16:37:18.452+00:00
2,Loan__application_received,2316-02-14T13:00:00.000+00:00
2,Check__application__form_completeness,2316-02-14T13:00:00.000+00:00
2,Appraise_property,2316-02-14T13:05:24.320+00:00
2,Check_credit_history,2316-02-14T13:05:24.320+00:00
2,Assess_loan_risk,2316-02-14T13:15:44.717+00:00
2,Assess_eligibility,2316-02-14T13:41:39.965+00:00
2,Prepare_acceptance_pack,2316-02-14T14:04:36.644+00:00
2,Check_if_home_insurance_quote_is_requested,2316-02-14T14:31:03.631+00:00
2,Send_home_insurance_quote,2316-02-14T14:31:14.196+00:00
2,Verify_repayment_agreement,2316-02-14T15:35:49.397+00:00
2,Cancel_application,2316-02-14T16:17:36.722+00:00
2,Loan__application_canceled,2316-02-14T16:43:55.999+00:00
3,Loan__application_received,2350-02-12T10:00:00.000+00:00
3,Check__application__form_completeness,2350-02-12T10:00:00.000+00:00
3,Appraise_property,2350-02-12T10:59:17.646+00:00
3,Check_credit_history,2350-02-12T10:59:17.646+00:00
3,Assess_loan_risk,2350-02-12T11:12:24.351+00:00
3,Assess_eligibility,2350-02-12T11:33:26.030+00:00
3,Reject_application,2350-02-12T11:47:31.365+00:00
3,Loan_application_rejected,2350-02-12T11:53:28.469+00:00
4,Loan__application_received,2046-02-08T16:00:00.000+00:00
4,Check__application__form_completeness,2046-02-08T16:00:00.000+00:00
4,Appraise_property,2046-02-08T16:27:41.642+00:00
4,Check_credit_history,2046-02-08T16:27:41.642+00:00
4,Assess_loan_risk,2046-02-11T09:10:00.059+00:00
4,Assess_eligibility,2046-02-11T09:11:39.737+00:00
4,Reject_application,2046-02-11T09:22:07.228+00:00
4,Loan_application_rejected,2046-02-11T10:21:12.485+00:00
5,Loan__application_received,2305-02-06T10:30:00.000+00:00
5,Check__application__form_completeness,2305-02-06T10:30:00.000+00:00
5,Appraise_property,2305-02-06T10:36:09.843+00:00
5,Check_credit_history,2305-02-06T10:36:09.843+00:00
5,Assess_loan_risk,2305-02-06T11:41:36.976+00:00
5,Assess_eligibility,2305-02-06T11:55:15.188+00:00
5,Reject_application,2305-02-06T12:52:01.057+00:00
5,Loan_application_rejected,2305-02-06T13:11:29.028+00:00
6,Loan__application_received,2586-02-04T14:00:00.000+00:00
6,Check__application__form_completeness,2586-02-04T14:00:00.000+00:00
6,Return_application_back_to_applicant,2586-02-04T14:30:41.302+00:00
6,Receive_updated_application,2586-02-04T15:13:41.085+00:00
6,Check__application__form_completeness,2586-02-04T16:52:42.660+00:00
6,Appraise_property,2586-02-05T09:16:40.371+00:00
6,Check_credit_history,2586-02-05T09:16:40.371+00:00
6,Assess_loan_risk,2586-02-05T10:09:54.456+00:00
6,Assess_eligibility,2586-02-05T10:15:08.632+00:00
6,Reject_application,2586-02-05T11:34:00.983+00:00
6,Loan_application_rejected,2586-02-05T11:38:51.259+00:00
7,Loan__application_received,2243-02-20T12:30:00.000+00:00
7,Check__application__form_completeness,2243-02-20T12:30:00.000+00:00
7,Appraise_property,2243-02-20T13:35:04.144+00:00
7,Check_credit_history,2243-02-20T13:35:04.144+00:00
7,Assess_loan_risk,2243-02-20T14:01:31.821+00:00
7,Assess_eligibility,2243-02-20T14:41:08.044+00:00
7,Prepare_acceptance_pack,2243-02-20T14:47:48.495+00:00
7,Check_if_home_insurance_quote_is_requested,2243-02-20T15:05:03.122+00:00
7,Send_acceptance_pack,2243-02-20T15:11:40.544+00:00
7,Verify_repayment_agreement,2243-02-20T15:19:09.616+00:00
7,Approve_application,2243-02-20T15:24:50.847+00:00
7,Loan__application_approved,2243-02-20T15:53:42.905+00:00
8,Loan__application_received,2449-02-18T16:00:00.000+00:00
8,Check__application__form_completeness,2449-02-18T16:00:00.000+00:00
8,Appraise_property,2449-02-18T16:05:21.789+00:00
8,Check_credit_history,2449-02-18T16:05:21.789+00:00
8,Assess_loan_risk,2449-02-18T16:18:34.819+00:00
8,Assess_eligibility,2449-02-19T09:07:15.264+00:00
8,Prepare_acceptance_pack,2449-02-19T09:08:47.138+00:00
8,Check_if_home_insurance_quote_is_requested,2449-02-19T09:10:35.643+00:00
8,Send_home_insurance_quote,2449-02-19T09:53:24.978+00:00
8,Verify_repayment_agreement,2449-02-19T10:36:00.110+00:00
8,Cancel_application,2449-02-19T10:53:10.596+00:00
8,Loan__application_canceled,2449-02-19T11:26:41.020+00:00
9,Loan__application_received,2449-02-13T12:00:00.000+00:00
9,Check__application__form_completeness,2449-02-13T12:00:00.000+00:00
9,Appraise_property,2449-02-13T14:00:13.718+00:00
9,Check_credit_history,2449-02-13T14:00:13.718+00:00
9,Assess_loan_risk,2449-02-13T14:38:19.276+00:00
9,Assess_eligibility,2449-02-13T14:51:47.742+00:00
9,Reject_application,2449-02-13T14:59:30.445+00:00
9,Loan_application_rejected,2449-02-13T16:11:35.267+00:00
10,Loan__application_received,2713-02-06T12:30:00.000+00:00
10,Check__application__form_completeness,2713-02-06T12:30:00.000+00:00
10,Appraise_property,2713-02-06T12:59:05.692+00:00
10,Check_credit_history,2713-02-06T12:59:05.692+00:00
10,Assess_loan_risk,2713-02-06T13:01:55.876+00:00
10,Assess_eligibility,2713-02-06T13:38:55.098+00:00
10,Prepare_acceptance_pack,2713-02-06T14:04:44.308+00:00
10,Check_if_home_insurance_quote_is_requested,2713-02-06T14:14:07.574+00:00
10,Send_home_insurance_quote,2713-02-06T14:21:31.522+00:00
10,Verify_repayment_agreement,2713-02-06T14:53:21.026+00:00
10,Cancel_application,2713-02-06T16:02:01.631+00:00
10,Loan__application_canceled,2713-02-06T16:32:43.168+00:00
11,Loan__application_received,2874-02-19T16:30:00.000+00:00
11,Check__application__form_completeness,2874-02-19T16:30:00.000+00:00
11,Appraise_property,2874-02-20T09:18:30.081+00:00
11,Check_credit_history,2874-02-20T09:18:30.081+00:00
11,Assess_loan_risk,2874-02-20T09:47:05.619+00:00
11,Assess_eligibility,2874-02-20T10:12:10.689+00:00
11,Prepare_acceptance_pack,2874-02-20T12:31:09.875+00:00
11,Check_if_home_insurance_quote_is_requested,2874-02-20T12:42:23.013+00:00
11,Send_acceptance_pack,2874-02-20T13:12:20.234+00:00
11,Verify_repayment_agreement,2874-02-20T13:54:30.932+00:00
11,Cancel_application,2874-02-20T14:49:44.329+00:00
11,Loan__application_canceled,2874-02-20T15:25:14.275+00:00
12,Loan__application_received,2962-02-21T16:00:00.000+00:00
12,Check__application__form_completeness,2962-02-21T16:00:00.000+00:00
12,Appraise_property,2962-02-21T16:17:21.804+00:00
12,Check_credit_history,2962-02-21T16:17:21.804+00:00
12,Assess_loan_risk,2962-02-21T16:35:12.221+00:00
12,Assess_eligibility,2962-02-21T16:50:51.592+00:00
12,Prepare_acceptance_pack,2962-02-22T09:19:40.854+00:00
12,Check_if_home_insurance_quote_is_requested,2962-02-22T10:17:59.871+00:00
12,Send_acceptance_pack,2962-02-22T10:52:30.999+00:00
12,Verify_repayment_agreement,2962-02-22T11:12:18.788+00:00
12,Approve_application,2962-02-22T11:35:56.115+00:00
12,Loan__application_approved,2962-02-22T11:56:21.790+00:00
13,Loan__application_received,2379-02-15T15:30:00.000+00:00
13,Check__application__form_completeness,2379-02-15T15:30:00.000+00:00
13,Appraise_property,2379-02-15T15:47:44.135+00:00
13,Check_credit_history,2379-02-15T15:47:44.135+00:00
13,Assess_loan_risk,2379-02-15T15:53:53.532+00:00
13,Assess_eligibility,2379-02-15T16:00:23.889+00:00
13,Reject_application,2379-02-15T16:50:46.357+00:00
13,Loan_application_rejected,2379-02-18T09:48:39.564+00:00
14,Loan__application_received,2524-02-08T11:30:00.000+00:00
14,Check__application__form_completeness,2524-02-08T11:30:00.000+00:00
14,Appraise_property,2524-02-08T11:51:42.242+00:00
14,Check_credit_history,2524-02-08T11:51:42.242+00:00
14,Assess_loan_risk,2524-02-08T13:17:21.822+00:00
14,Assess_eligibility,2524-02-08T14:08:47.857+00:00
14,Prepare_acceptance_pack,2524-02-08T14:26:18.678+00:00
14,Check_if_home_insurance_quote_is_requested,2524-02-08T14:50:28.720+00:00
14,Send_acceptance_pack,2524-02-08T15:05:10.938+00:00
14,Verify_repayment_agreement,2524-02-08T15:21:20.694+00:00
14,Approve_application,2524-02-08T15:30:44.100+00:00
14,Loan__application_approved,2524-02-08T15:40:44.629+00:00
15,Loan__application_received,2042-02-13T14:00:00.000+00:00
15,Check__application__form_completeness,2042-02-13T14:00:00.000+00:00
15,Appraise_property,2042-02-13T14:03:05.619+00:00
15,Check_credit_history,2042-02-13T14:03:05.619+00:00
15,Assess_loan_risk,2042-02-13T15:00:50.102+00:00
15,Assess_eligibility,2042-02-13T16:22:07.063+00:00
