case,event,timestamp
1,Loan__application_received,2004-02-18T15:00:00.000+00:00
1,Check__application__form_completeness,2004-02-18T15:00:00.000+00:00
1,Appraise_property,2004-02-18T16:37:18.439+00:00
1,Check_credit_history,2004-02-18T16:37:18.439+00:00
1,Assess_loan_risk,2004-02-18T16:45:14.981+00:00
1,Assess_eligibility,2004-02-18T16:46:24.364+00:00
1,Prepare_acceptance_pack,2004-02-19T09:35:28.102+00:00
1,Check_if_home_insurance_quote_is_requested,2004-02-19T09:59:08.899+00:00
1,Send_acceptance_pack,2004-02-19T10:06:52.258+00:00
1,Verify_repayment_agreement,2004-02-19T10:25:09.101+00:00
1,Approve_application,2004-02-19T10:53:28.312+00:00
1,Loan__application_approved,2004-02-19T10:55:38.674+00:00
2,Loan__application_received,2005-08-08T12:00:00.000+00:00
2,Check__application__form_completeness,2005-08-08T12:00:00.000+00:00
2,Appraise_property,2005-08-08T12:13:13.025+00:00
2,Check_credit_history,2005-08-08T12:13:13.025+00:00
2,Assess_loan_risk,2005-08-08T12:50:18.462+00:00
2,Assess_eligibility,2005-08-08T13:01:38.569+00:00
2,Prepare_acceptance_pack,2005-08-08T13:05:53.832+00:00
2,Check_if_home_insurance_quote_is_requested,2005-08-08T15:00:54.825+00:00
2,Send_acceptance_pack,2005-08-08T15:06:42.378+00:00
2,Verify_repayment_agreement,2005-08-08T15:46:27.408+00:00
2,Approve_application,2005-08-08T16:12:32.907+00:00
2,Loan__application_approved,2005-08-08T16:41:01.406+00:00
3,Loan__application_received,2004-08-04T12:00:00.000+00:00
3,Check__application__form_completeness,2004-08-04T12:00:00.000+00:00
3,Appraise_property,2004-08-04T12:07:35.634+00:00
3,Check_credit_history,2004-08-04T12:07:35.634+00:00
3,Assess_loan_risk,2004-08-04T12:14:59.740+00:00
3,Assess_eligibility,2004-08-04T13:03:42.498+00:00
3,Prepare_acceptance_pack,2004-08-04T14:21:16.634+00:00
3,Check_if_home_insurance_quote_is_requested,2004-08-04T14:30:54.728+00:00
3,Send_home_insurance_quote,2004-08-04T15:22:28.370+00:00
3,Verify_repayment_agreement,2004-08-04T15:47:43.892+00:00
3,Approve_application,2004-08-04T16:06:41.214+00:00
3,Loan__application_approved,2004-08-04T16:41:29.218+00:00
4,Loan__application_received,2005-08-25T13:30:00.000+00:00
4,Check__application__form_completeness,2005-08-25T13:30:00.000+00:00
4,Appraise_property,2005-08-25T13:59:57.826+00:00
4,Check_credit_history,2005-08-25T13:59:57.826+00:00
4,Assess_loan_risk,2005-08-25T15:56:18.435+00:00
4,Assess_eligibility,2005-08-25T15:58:27.375+00:00
4,Reject_application,2005-08-25T16:28:27.182+00:00
4,Loan_application_rejected,2005-08-26T09:10:56.138+00:00
5,Loan__application_received,2004-08-06T17:00:00.000+00:00
5,Check__application__form_completeness,2004-08-06T17:00:00.000+00:00
5,Appraise_property,2004-08-09T09:22:51.458+00:00
5,Check_credit_history,2004-08-09T09:22:51.458+00:00
5,Assess_loan_risk,2004-08-09T09:39:43.465+00:00
5,Assess_eligibility,2004-08-09T11:23:28.841+00:00
5,Prepare_acceptance_pack,2004-08-09T11:32:47.539+00:00
5,Check_if_home_insurance_quote_is_requested,2004-08-09T12:22:23.571+00:00
5,Send_acceptance_pack,2004-08-09T12:49:18.723+00:00
5,Verify_repayment_agreement,2004-08-09T13:01:56.711+00:00
5,Approve_application,2004-08-09T13:10:57.218+00:00
5,Loan__application_approved,2004-08-09T13:21:31.022+00:00
6,Loan__application_received,2005-08-30T12:30:00.000+00:00
6,Check__application__form_completeness,2005-08-30T12:30:00.000+00:00
6,Appraise_property,2005-08-30T12:37:03.664+00:00
6,Check_credit_history,2005-08-30T12:37:03.664+00:00
6,Assess_loan_risk,2005-08-30T12:43:45.244+00:00
6,Assess_eligibility,2005-08-30T13:29:11.612+00:00
6,Prepare_acceptance_pack,2005-08-30T13:29:53.128+00:00
6,Check_if_home_insurance_quote_is_requested,2005-08-30T13:42:50.393+00:00
6,Send_home_insurance_quote,2005-08-30T14:33:14.281+00:00
6,Verify_repayment_agreement,2005-08-30T15:28:00.164+00:00
6,Cancel_application,2005-08-30T15:55:59.902+00:00
6,Loan__application_canceled,2005-08-30T16:08:33.217+00:00
7,Loan__application_received,2005-02-10T16:30:00.000+00:00
7,Check__application__form_completeness,2005-02-10T16:30:00.000+00:00
7,Return_application_back_to_applicant,2005-02-10T16:32:46.798+00:00
7,Receive_updated_application,2005-02-10T16:39:02.984+00:00
7,Check__application__form_completeness,2005-02-10T16:44:13.291+00:00
7,Appraise_property,2005-02-10T16:47:11.103+00:00
7,Check_credit_history,2005-02-10T16:47:11.103+00:00
7,Assess_loan_risk,2005-02-10T16:56:53.329+00:00
7,Assess_eligibility,2005-02-11T09:17:48.648+00:00
7,Reject_application,2005-02-11T09:36:33.885+00:00
7,Loan_application_rejected,2005-02-11T10:24:16.235+00:00
8,Loan__application_received,2006-02-08T09:30:00.000+00:00
8,Check__application__form_completeness,2006-02-08T09:30:00.000+00:00
8,Appraise_property,2006-02-08T09:54:59.550+00:00
8,Check_credit_history,2006-02-08T09:54:59.550+00:00
8,Assess_loan_risk,2006-02-08T10:16:05.600+00:00
8,Assess_eligibility,2006-02-08T10:32:37.439+00:00
8,Reject_application,2006-02-08T10:53:53.039+00:00
8,Loan_application_rejected,2006-02-08T11:07:01.901+00:00
9,Loan__application_received,2005-08-30T16:30:00.000+00:00
9,Check__application__form_completeness,2005-08-30T16:30:00.000+00:00
9,Appraise_property,2005-08-30T16:35:19.309+00:00
9,Check_credit_history,2005-08-30T16:35:19.309+00:00
9,Assess_loan_risk,2005-08-30T16:42:04.505+00:00
9,Assess_eligibility,2005-08-30T16:55:28.265+00:00
9,Reject_application,2005-08-31T09:05:56.424+00:00
9,Loan_application_rejected,2005-08-31T09:35:11.782+00:00
10,Loan__application_received,2006-02-20T10:00:00.000+00:00
10,Check__application__form_completeness,2006-02-20T10:00:00.000+00:00
10,Return_application_back_to_applicant,2006-02-20T10:21:16.932+00:00
10,Receive_updated_application,2006-02-20T10:23:07.159+00:00
10,Check__application__form_completeness,2006-02-20T10:24:19.090+00:00
10,Appraise_property,2006-02-20T11:19:23.876+00:00
10,Check_credit_history,2006-02-20T11:19:23.876+00:00
10,Assess_loan_risk,2006-02-20T11:20:10.495+00:00
10,Assess_eligibility,2006-02-20T11:30:56.894+00:00
10,Reject_application,2006-02-20T11:37:43.904+00:00
