case,event,timestamp
1,Loan__application_received,2798-02-12T09:30:00.000+00:00
1,Check__application__form_completeness,2798-02-12T09:30:00.000+00:00
1,Appraise_property,2798-02-12T09:47:04.295+00:00
1,Check_credit_history,2798-02-12T09:47:04.295+00:00
1,Assess_loan_risk,2798-02-12T10:05:11.066+00:00
1,Assess_eligibility,2798-02-12T10:35:10.030+00:00
1,Reject_application,2798-02-12T10:38:17.042+00:00
1,Loan_application_rejected,2798-02-12T11:24:32.513+00:00
2,Loan__application_received,2749-02-06T14:30:00.000+00:00
2,Check__application__form_completeness,2749-02-06T14:30:00.000+00:00
2,Return_application_back_to_applicant,2749-02-06T15:12:45.534+00:00
2,Receive_updated_application,2749-02-06T15:45:53.438+00:00
2,Check__application__form_completeness,2749-02-06T15:49:39.752+00:00
2,Appraise_property,2749-02-06T16:01:35.955+00:00
2,Check_credit_history,2749-02-06T16:01:35.955+00:00
2,Assess_loan_risk,2749-02-06T16:27:57.879+00:00
2,Assess_eligibility,2749-02-07T09:34:49.213+00:00
2,Reject_application,2749-02-07T10:14:21.428+00:00
2,Loan_application_rejected,2749-02-07T10:23:51.354+00:00
3,Loan__application_received,2617-02-11T10:00:00.000+00:00
3,Check__application__form_completeness,2617-02-11T10:00:00.000+00:00
3,Appraise_property,2617-02-11T10:47:52.801+00:00
3,Check_credit_history,2617-02-11T10:47:52.801+00:00
3,Assess_loan_risk,2617-02-11T10:53:03.477+00:00
3,Assess_eligibility,2617-02-11T11:07:53.377+00:00
3,Reject_application,2617-02-11T11:19:09.215+00:00
3,Loan_application_rejected,2617-02-11T12:40:27.947+00:00
4,Loan__application_received,2433-02-04T15:30:00.000+00:00
4,Check__application__form_completeness,2433-02-04T15:30:00.000+00:00
4,Appraise_property,2433-02-04T15:30:14.857+00:00
4,Check_credit_history,2433-02-04T15:30:14.857+00:00
4,Assess_loan_risk,2433-02-04T15:38:23.111+00:00
4,Assess_eligibility,2433-02-04T15:57:17.995+00:00
4,Reject_application,2433-02-04T16:02:51.255+00:00
4,Loan_application_rejected,2433-02-04T16:11:47.263+00:00
5,Loan__application_received,2903-02-14T15:30:00.000+00:00
5,Check__application__form_completeness,2903-02-14T15:30:00.000+00:00
5,Return_application_back_to_applicant,2903-02-14T15:48:55.964+00:00
5,Receive_updated_application,2903-02-14T16:05:46.911+00:00
5,Check__application__form_completeness,2903-02-14T16:09:01.290+00:00
5,Appraise_property,2903-02-15T09:31:54.885+00:00
