case,event,timestamp
1,Loan__application_received,2848-02-14T10:00:00.000+00:00
1,Check__application__form_completeness,2848-02-14T10:00:00.000+00:00
1,Appraise_property,2848-02-14T10:27:29.403+00:00
1,Check_credit_history,2848-02-14T10:27:29.403+00:00
1,Assess_loan_risk,2848-02-14T12:41:36.320+00:00
1,Assess_eligibility,2848-02-14T12:48:08.311+00:00
1,Prepare_acceptance_pack,2848-02-14T13:38:15.451+00:00
1,Check_if_home_insurance_quote_is_requested,2848-02-14T13:39:07.835+00:00
1,Send_home_insurance_quote,2848-02-14T13:46:53.630+00:00
1,Verify_repayment_agreement,2848-02-14T13:57:12.147+00:00
1,Cancel_application,2848-02-14T14:04:14.765+00:00
1,Loan__application_canceled,2848-02-14T14:09:22.537+00:00
2,Loan__application_received,2205-02-07T10:30:00.000+00:00
2,Check__application__form_completeness,2205-02-07T10:30:00.000+00:00
2,Return_application_back_to_applicant,2205-02-07T10:54:44.438+00:00
2,Receive_updated_application,2205-02-07T13:24:56.996+00:00
2,Check__application__form_completeness,2205-02-07T13:44:39.761+00:00
2,Return_application_back_to_applicant,2205-02-07T14:44:17.861+00:00
2,Receive_updated_application,2205-02-07T14:52:22.184+00:00
2,Check__application__form_completeness,2205-02-07T15:49:34.453+00:00
2,Appraise_property,2205-02-07T16:30:30.162+00:00
2,Check_credit_history,2205-02-07T16:30:30.162+00:00
2,Assess_loan_risk,2205-02-08T09:06:54.170+00:00
2,Assess_eligibility,2205-02-08T11:50:06.235+00:00
2,Prepare_acceptance_pack,2205-02-08T12:19:16.866+00:00
2,Check_if_home_insurance_quote_is_requested,2205-02-08T12:20:40.047+00:00
2,Send_home_insurance_quote,2205-02-08T14:04:57.174+00:00
2,Verify_repayment_agreement,2205-02-08T14:18:31.660+00:00
2,Approve_application,2205-02-08T14:57:30.538+00:00
2,Loan__application_approved,2205-02-08T15:23:06.115+00:00
3,Loan__application_received,2171-02-07T14:30:00.000+00:00
3,Check__application__form_completeness,2171-02-07T14:30:00.000+00:00
3,Appraise_property,2171-02-07T14:35:12.537+00:00
3,Check_credit_history,2171-02-07T14:35:12.537+00:00
3,Assess_loan_risk,2171-02-07T14:41:01.136+00:00
3,Assess_eligibility,2171-02-07T14:44:38.133+00:00
3,Reject_application,2171-02-07T14:57:04.909+00:00
3,Loan_application_rejected,2171-02-07T15:00:06.698+00:00
4,Loan__application_received,2588-02-25T13:30:00.000+00:00
4,Check__application__form_completeness,2588-02-25T13:30:00.000+00:00
4,Appraise_property,2588-02-25T15:01:26.455+00:00
4,Check_credit_history,2588-02-25T15:01:26.455+00:00
4,Assess_loan_risk,2588-02-25T15:30:01.170+00:00
4,Assess_eligibility,2588-02-25T15:33:56.077+00:00
4,Reject_application,2588-02-25T15:45:20.000+00:00
4,Loan_application_rejected,2588-02-25T15:53:21.926+00:00
5,Loan__application_received,2383-02-15T13:00:00.000+00:00
5,Check__application__form_completeness,2383-02-15T13:00:00.000+00:00
5,Appraise_property,2383-02-15T13:00:41.342+00:00
5,Check_credit_history,2383-02-15T13:00:41.342+00:00
5,Assess_loan_risk,2383-02-15T13:16:59.372+00:00
5,Assess_eligibility,2383-02-15T14:17:57.944+00:00
5,Prepare_acceptance_pack,2383-02-15T14:19:19.477+00:00
5,Check_if_home_insurance_quote_is_requested,2383-02-15T15:09:21.802+00:00
5,Send_acceptance_pack,2383-02-15T15:16:12.778+00:00
5,Verify_repayment_agreement,2383-02-15T16:25:56.273+00:00
5,Cancel_application,2383-02-15T16:41:51.500+00:00
5,Loan__application_canceled,2383-02-15T16:57:18.039+00:00
6,Loan__application_received,2654-02-12T14:00:00.000+00:00
6,Check__application__form_completeness,2654-02-12T14:00:00.000+00:00
6,Appraise_property,2654-02-12T14:00:57.344+00:00
6,Check_credit_history,2654-02-12T14:00:57.344+00:00
6,Assess_loan_risk,2654-02-12T14:07:26.241+00:00
6,Assess_eligibility,2654-02-12T14:24:31.486+00:00
6,Prepare_acceptance_pack,2654-02-12T14:37:02.001+00:00
6,Check_if_home_insurance_quote_is_requested,2654-02-12T15:13:16.044+00:00
6,Send_home_insurance_quote,2654-02-12T15:51:34.755+00:00
6,Verify_repayment_agreement,2654-02-12T16:55:15.422+00:00
6,Approve_application,2654-02-13T10:09:35.604+00:00
6,Loan__application_approved,2654-02-13T10:52:20.680+00:00
7,Loan__application_received,2767-02-15T12:00:00.000+00:00
7,Check__application__form_completeness,2767-02-15T12:00:00.000+00:00
7,Appraise_property,2767-02-15T12:01:26.004+00:00
7,Check_credit_history,2767-02-15T12:01:26.004+00:00
7,Assess_loan_risk,2767-02-15T14:07:30.625+00:00
7,Assess_eligibility,2767-02-15T14:19:05.228+00:00
7,Reject_application,2767-02-15T14:27:05.863+00:00
7,Loan_application_rejected,2767-02-15T14:46:46.686+00:00
8,Loan__application_received,2154-02-19T15:00:00.000+00:00
8,Check__application__form_completeness,2154-02-19T15:00:00.000+00:00
8,Appraise_property,2154-02-19T15:35:43.482+00:00
8,Check_credit_history,2154-02-19T15:35:43.482+00:00
8,Assess_loan_risk,2154-02-19T16:21:55.209+00:00
8,Assess_eligibility,2154-02-19T16:42:15.207+00:00
8,Prepare_acceptance_pack,2154-02-20T09:02:14.829+00:00
8,Check_if_home_insurance_quote_is_requested,2154-02-20T09:29:05.990+00:00
8,Send_home_insurance_quote,2154-02-20T09:43:54.451+00:00
8,Verify_repayment_agreement,2154-02-20T10:22:43.788+00:00
8,Approve_application,2154-02-20T10:33:37.868+00:00
8,Loan__application_approved,2154-02-20T11:10:39.012+00:00
9,Loan__application_received,2135-02-14T17:00:00.000+00:00
9,Check__application__form_completeness,2135-02-14T17:00:00.000+00:00
9,Appraise_property,2135-02-15T09:43:25.203+00:00
9,Check_credit_history,2135-02-15T09:43:25.203+00:00
9,Assess_loan_risk,2135-02-15T09:59:03.793+00:00
9,Assess_eligibility,2135-02-15T11:40:38.510+00:00
9,Reject_application,2135-02-15T12:42:15.922+00:00
9,Loan_application_rejected,2135-02-15T12:59:09.621+00:00
10,Loan__application_received,2155-02-05T14:00:00.000+00:00
10,Check__application__form_completeness,2155-02-05T14:00:00.000+00:00
10,Appraise_property,2155-02-05T14:45:50.378+00:00
10,Check_credit_history,2155-02-05T14:45:50.378+00:00
10,Assess_loan_risk,2155-02-05T15:06:25.803+00:00
10,Assess_eligibility,2155-02-05T15:37:09.412+00:00
10,Prepare_acceptance_pack,2155-02-05T15:50:42.468+00:00
10,Check_if_home_insurance_quote_is_requested,2155-02-06T10:23:00.572+00:00
10,Send_home_insurance_quote,2155-02-06T10:25:10.704+00:00
10,Verify_repayment_agreement,2155-02-06T10:43:57.306+00:00
10,Cancel_application,2155-02-06T11:41:14.063+00:00
10,Loan__application_canceled,2155-02-06T12:11:45.009+00:00
11,Loan__application_received,2064-02-21T11:00:00.000+00:00
11,Check__application__form_completeness,2064-02-21T11:00:00.000+00:00
11,Appraise_property,2064-02-21T12:28:34.619+00:00
11,Check_credit_history,2064-02-21T12:28:34.619+00:00
11,Assess_loan_risk,2064-02-21T13:25:53.307+00:00
11,Assess_eligibility,2064-02-21T14:19:51.448+00:00
11,Prepare_acceptance_pack,2064-02-21T14:26:59.722+00:00
11,Check_if_home_insurance_quote_is_requested,2064-02-21T15:21:44.187+00:00
11,Send_home_insurance_quote,2064-02-21T15:24:37.766+00:00
11,Verify_repayment_agreement,2064-02-21T15:48:11.247+00:00
11,Approve_application,2064-02-21T16:26:08.625+00:00
11,Loan__application_approved,2064-02-21T16:52:02.163+00:00
12,Loan__application_received,2126-02-07T16:30:00.000+00:00
12,Check__application__form_completeness,2126-02-07T16:30:00.000+00:00
12,Appraise_property,2126-02-08T09:06:08.648+00:00
12,Check_credit_history,2126-02-08T09:06:08.648+00:00
12,Assess_loan_risk,2126-02-08T09:15:58.348+00:00
12,Assess_eligibility,2126-02-08T09:34:27.724+00:00
12,Prepare_acceptance_pack,2126-02-08T11:03:14.167+00:00
12,Check_if_home_insurance_quote_is_requested,2126-02-08T11:24:44.302+00:00
12,Send_acceptance_pack,2126-02-08T12:29:09.306+00:00
12,Verify_repayment_agreement,2126-02-08T12:59:20.575+00:00
12,Cancel_application,2126-02-08T13:19:46.309+00:00
12,Loan__application_canceled,2126-02-08T13:29:24.792+00:00
13,Loan__application_received,2291-02-08T13:30:00.000+00:00
13,Check__application__form_completeness,2291-02-08T13:30:00.000+00:00
13,Appraise_property,2291-02-08T13:45:09.141+00:00
13,Check_credit_history,2291-02-08T13:45:09.141+00:00
