case,event,timestamp
1,Loan__application_received,2483-02-08T13:30:00.000+00:00
1,Check__application__form_completeness,2483-02-08T13:30:00.000+00:00
1,Appraise_property,2483-02-08T13:55:42.493+00:00
1,Check_credit_history,2483-02-08T13:55:42.493+00:00
1,Assess_loan_risk,2483-02-08T16:11:15.094+00:00
1,Assess_eligibility,2483-02-08T16:14:21.765+00:00
1,Reject_application,2483-02-08T16:28:26.692+00:00
1,Loan_application_rejected,2483-02-11T09:08:20.185+00:00
2,Loan__application_received,2656-02-15T14:30:00.000+00:00
2,Check__application__form_completeness,2656-02-15T14:30:00.000+00:00
2,Appraise_property,2656-02-15T14:53:03.089+00:00
2,Check_credit_history,2656-02-15T14:53:03.089+00:00
2,Assess_loan_risk,2656-02-15T14:54:47.270+00:00
2,Assess_eligibility,2656-02-15T15:07:21.120+00:00
2,Reject_application,2656-02-15T15:08:38.534+00:00
2,Loan_application_rejected,2656-02-15T15:30:21.941+00:00
3,Loan__application_received,2702-02-07T16:30:00.000+00:00
3,Check__application__form_completeness,2702-02-07T16:30:00.000+00:00
3,Appraise_property,2702-02-08T09:10:06.576+00:00
3,Check_credit_history,2702-02-08T09:10:06.576+00:00
3,Assess_loan_risk,2702-02-08T09:11:56.967+00:00
3,Assess_eligibility,2702-02-08T10:47:19.327+00:00
3,Prepare_acceptance_pack,2702-02-08T11:06:29.019+00:00
3,Check_if_home_insurance_quote_is_requested,2702-02-08T11:28:39.413+00:00
3,Send_acceptance_pack,2702-02-08T11:35:50.074+00:00
3,Verify_repayment_agreement,2702-02-08T11:49:21.245+00:00
3,Cancel_application,2702-02-08T12:08:03.312+00:00
3,Loan__application_canceled,2702-02-08T12:09:14.333+00:00
4,Loan__application_received,2551-02-20T10:30:00.000+00:00
4,Check__application__form_completeness,2551-02-20T10:30:00.000+00:00
4,Appraise_property,2551-02-20T10:31:25.520+00:00
4,Check_credit_history,2551-02-20T10:31:25.520+00:00
4,Assess_loan_risk,2551-02-20T10:43:12.528+00:00
4,Assess_eligibility,2551-02-20T11:05:45.599+00:00
4,Reject_application,2551-02-20T11:39:19.577+00:00
4,Loan_application_rejected,2551-02-20T11:52:05.080+00:00
5,Loan__application_received,2944-02-14T09:30:00.000+00:00
5,Check__application__form_completeness,2944-02-14T09:30:00.000+00:00
5,Appraise_property,2944-02-14T09:46:48.412+00:00
5,Check_credit_history,2944-02-14T09:46:48.412+00:00
5,Assess_loan_risk,2944-02-14T10:00:03.578+00:00
5,Assess_eligibility,2944-02-14T11:34:22.943+00:00
5,Reject_application,2944-02-14T12:05:07.195+00:00
5,Loan_application_rejected,2944-02-14T12:37:27.035+00:00
6,Loan__application_received,2432-02-22T14:30:00.000+00:00
6,Check__application__form_completeness,2432-02-22T14:30:00.000+00:00
6,Appraise_property,2432-02-22T14:33:28.873+00:00
6,Check_credit_history,2432-02-22T14:33:28.873+00:00
6,Assess_loan_risk,2432-02-22T14:56:21.118+00:00
6,Assess_eligibility,2432-02-22T16:14:39.496+00:00
6,Prepare_acceptance_pack,2432-02-25T09:52:37.820+00:00
6,Check_if_home_insurance_quote_is_requested,2432-02-25T10:55:02.238+00:00
6,Send_acceptance_pack,2432-02-25T11:46:45.084+00:00
6,Verify_repayment_agreement,2432-02-25T11:47:31.038+00:00
6,Approve_application,2432-02-25T12:17:33.695+00:00
6,Loan__application_approved,2432-02-25T12:20:33.560+00:00
7,Loan__application_received,2255-02-14T15:00:00.000+00:00
7,Check__application__form_completeness,2255-02-14T15:00:00.000+00:00
7,Appraise_property,2255-02-14T15:13:01.470+00:00
7,Check_credit_history,2255-02-14T15:13:01.470+00:00
7,Assess_loan_risk,2255-02-14T15:46:04.986+00:00
7,Assess_eligibility,2255-02-14T16:01:20.389+00:00
7,Reject_application,2255-02-14T16:03:48.320+00:00
7,Loan_application_rejected,2255-02-14T16:30:21.628+00:00
8,Loan__application_received,2300-02-04T12:30:00.000+00:00
8,Check__application__form_completeness,2300-02-04T12:30:00.000+00:00
8,Appraise_property,2300-02-04T13:18:29.337+00:00
8,Check_credit_history,2300-02-04T13:18:29.337+00:00
8,Assess_loan_risk,2300-02-04T14:53:41.040+00:00
8,Assess_eligibility,2300-02-04T15:15:04.362+00:00
8,Reject_application,2300-02-04T16:07:23.554+00:00
8,Loan_application_rejected,2300-02-04T16:14:54.140+00:00
9,Loan__application_received,2751-02-21T15:00:00.000+00:00
9,Check__application__form_completeness,2751-02-21T15:00:00.000+00:00
